Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Baytown Wetlands Center C552,1,Non,17,20,21,19,18,22,19,23,23,25,25,24,26,22,24,22,19,20,24,21,18,18,22,22,26,24,24,23,59,40,41
Crosby Library C553,1,Non,15,23,25,20,21,22,21,27,25,33,28,34,37,35,41,36,26,29,41,34,25,22,33,41,40,40,38,41,44,37,39
West Houston C554,1,Non,17,19,NV,16,17,21,15,22,21,27,23,21,23,24,32,30,22,23,24,25,23,22,24,29,30,26,30,29,43,56,52
La Porte Sylvan Beach C556,1,Non,20,22,22,23,20,23,21,26,24,30,30,24,27,28,30,26,25,25,28,24,23,23,29,27,31,27,26,28,74,68,57
Mercer Arboretum C557,1,Non,15,27,26,20,20,23,21,23,29,38,33,27,37,40,48,40,29,30,35,41,31,27,36,46,41,38,39,44,41,39,41
Tom Bass C558,1,Non,13,16,16,15,15,15,14,18,15,20,19,17,16,20,24,21,17,18,18,17,16,18,17,21,20,15,17,18,31,60,50
Katy Park C559,1,Non,17,18,NV,14,15,19,14,19,17,26,21,20,20,21,25,23,19,18,18,21,19,20,20,23,NV,NV,NV,NV,26,NV,46
Atascocita C560,1,Non,19,26,25,19,21,23,21,27,27,33,30,28,33,33,36,30,25,28,38,36,29,25,29,33,33,35,31,36,20,30,32
Meyer Park C561,1,Non,15,22,22,17,19,23,21,25,25,35,30,22,26,33,38,36,27,28,29,33,30,24,25,37,34,29,34,38,42,18,33
Bunker Hill Village C562,1,Non,13,20,19,18,17,21,19,22,22,25,23,25,25,28,32,30,24,25,26,28,23,22,25,32,29,25,25,23,42,51,54
Huffman Wolf Road C563,1,Non,19,26,26,18,20,NV,20,27,25,30,25,35,39,34,44,38,29,29,37,36,28,22,34,42,41,35,42,47,11,22,34
Clear Brook High School C570,1,Non,17,20,17,20,19,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clear Creek High School C571,1,Non,22,22,22,22,22,23,21,25,23,25,26,24,25,29,31,27,24,26,25,25,25,23,29,27,29,25,24,22,42,58,63
Clear Lake High School C572,1,Non,17,18,20,21,20,19,18,22,20,22,23,22,22,27,31,27,23,25,24,24,22,22,27,28,27,24,24,22,47,64,60
HRM-3 Haden Road C603/A114,1,Non,13,22,23,22,21,20,18,24,20,25,25,28,31,30,36,29,23,25,31,30,24,24,28,32,33,34,28,30,59,50,44
Wallisville Road C617,1,Non,18,22,25,21,20,23,19,24,24,28,26,29,32,30,36,30,24,27,37,28,23,21,28,34,40,42,35,33,55,38,42
Danciger C618,1,Non,16,18,17,16,16,18,NV,NV,NV,18,NV,NV,NV,NV,NA,NV,NV,NA,NV,NA,NA,NA,NV,19,NV,NA,NV,NV,NV,43,66
Mustang Bayou C619,1,Non,18,20,21,20,20,21,20,22,20,20,22,20,23,25,26,24,22,22,22,21,22,21,25,23,22,19,20,19,24,57,68
Texas City 34th St. C620,1,Non,23,25,28,23,23,25,23,28,23,25,26,23,17,25,28,27,23,24,24,23,21,23,25,25,24,24,19,23,41,62,75
UH Moody Tower C695,1,Non,18,23,23,21,21,22,20,25,23,28,26,26,NV,NV,33,NV,NA,NA,NA,NV,25,25,25,32,30,26,27,27,NV,60,52
U of H-Sugarland C696,1,Non,18,17,18,17,16,18,16,21,20,27,27,19,18,22,26,23,20,21,20,20,20,20,20,23,24,20,18,18,32,61,64
UH Coastal Center C697,1,Non,16,17,18,16,16,18,16,20,17,18,19,19,18,21,21,19,17,17,18,17,17,17,19,18,18,17,17,16,24,53,51
UH WG Jones Forest C698,1,Non,25,34,31,23,26,32,29,35,41,55,43,30,37,46,56,50,38,37,38,43,35,35,36,49,45,39,50,57,47,44,49
UH West Liberty C699,1,Non,27,31,37,30,28,30,27,33,34,39,32,45,51,45,NV,NV,39,40,47,49,38,33,47,54,NV,44,51,53,39,38,46
Lynchburg Ferry C1015/A165,1,Reg,15,21,21,20,20,22,19,24,20,27,26,23,27,28,30,27,NV,23,28,26,NV,23,29,27,30,33,29,28,52,43,38
Lake Jackson C1016,1,Reg,19,20,18,NV,NA,NV,19,NV,NV,18,21,17,16,21,23,22,19,20,18,16,17,19,21,19,20,17,16,17,18,36,62
Baytown Garth C1017,1,Reg,21,25,28,24,22,26,22,28,28,31,29,33,35,33,39,34,27,30,41,32,26,25,33,41,46,48,41,38,62,43,48
Galveston 99th St. C1034/A320/X183,1,Reg,26,22,29,24,22,24,21,25,23,22,25,20,20,24,25,24,21,22,20,19,19,21,24,23,22,18,19,22,22,NV,76
