Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Baytown Wetlands Center C552,1,Non,77,55,21,30,57,46,64,49,54,36,14,25,31,22,23,33,55,36,28,36,55,55,52,50,64,77,76,57,41,30
Crosby Library C553,1,Non,61,56,31,43,48,55,57,46,48,46,23,27,35,31,33,28,50,34,17,34,40,49,47,46,63,71,82,58,43,26
West Houston C554,1,Non,97,32,27,38,67,58,59,57,68,36,22,28,36,25,26,37,65,47,17,29,52,55,59,52,66,74,77,55,40,27
La Porte Sylvan Beach C556,1,Non,65,56,23,30,66,41,65,50,59,35,17,26,31,22,23,48,51,40,33,41,51,58,55,51,67,87,79,63,45,33
Mercer Arboretum C557,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,31,52,44,18,36,41,50,47,45,59,60,106,65,56,24
Tom Bass C558,1,Non,94,30,24,29,59,33,82,59,60,32,18,25,30,21,20,36,61,42,18,33,58,56,61,56,77,113,69,48,35,26
Katy Park C559,1,Non,80,32,24,33,55,45,55,53,68,32,18,27,29,21,21,35,65,45,15,26,53,53,57,48,61,59,73,51,36,26
Atascocita C560,1,Non,61,48,33,43,48,56,52,39,48,43,24,28,40,29,31,30,47,40,17,36,40,47,46,45,58,62,96,65,49,26
Meyer Park C561,1,Non,73,40,32,46,61,73,47,45,52,40,27,32,41,33,33,33,51,46,18,26,39,48,45,42,58,62,94,57,54,25
Bunker Hill Village C562,1,Non,102,34,25,37,71,53,65,62,68,38,22,26,35,26,27,37,66,45,17,28,53,59,55,53,71,89,76,51,37,25
Huffman Wolf Road C563,1,Non,57,62,37,49,46,52,54,47,46,53,31,34,41,39,41,31,51,38,23,39,42,51,45,48,66,61,80,64,52,29
Clear Brook High School C570,1,Non,84,33,22,29,53,41,74,61,59,34,16,21,29,21,17,37,60,41,25,39,57,63,61,65,80,92,77,52,35,30
Clear Lake High School C572,1,Non,85,41,21,29,59,28,68,60,59,36,18,21,30,24,20,41,58,43,21,43,57,62,62,62,79,92,83,60,29,23
HRM-3 Haden Road C603/A114,1,Non,82,46,26,33,62,68,67,51,59,37,18,24,35,26,23,33,63,39,24,39,51,51,56,50,63,89,79,57,35,27
Wallisville Road C617,1,Non,70,56,26,36,50,55,65,50,55,42,20,29,36,27,27,32,61,36,26,39,48,55,54,49,66,84,82,62,46,31
Danciger C618,1,Non,74,23,22,30,30,32,70,52,52,29,14,20,24,21,19,26,59,44,20,35,49,67,57,66,84,77,70,45,36,28
Mustang Bayou C619,1,Non,70,37,22,26,43,27,61,52,56,28,16,20,25,20,17,60,49,38,31,37,42,60,54,55,78,92,70,49,32,29
Texas City 34th St. C620,1,Non,74,52,24,29,64,41,70,67,60,32,16,NV,29,21,19,51,52,40,36,43,45,68,67,62,85,91,80,63,43,34
UH Moody Tower C695,1,Non,114,55,34,40,79,60,75,59,76,41,26,28,39,30,28,45,74,50,27,46,61,62,65,60,77,116,83,61,45,35
U of H-Sugarland C696,1,Non,83,36,23,31,45,33,74,NV,68,31,17,27,26,19,19,31,64,42,19,34,66,62,64,53,69,84,65,48,34,28
UH Coastal Center C697,1,Non,75,35,23,28,52,41,66,62,56,31,17,21,27,21,19,45,51,40,33,41,45,64,62,58,85,88,75,56,38,31
UH WG Jones Forest C698,1,Non,68,52,42,54,51,54,58,54,50,51,39,NV,NV,47,47,33,53,52,23,37,44,56,50,48,63,75,97,75,64,28
UH West Liberty C699,1,Non,53,59,31,45,43,49,51,45,43,49,25,25,34,32,31,26,46,31,19,35,38,46,41,43,58,53,73,55,45,25
Lynchburg Ferry C1015/A165,1,Reg,71,59,25,32,60,49,71,44,58,36,20,NV,38,23,23,35,50,36,25,35,47,49,50,43,56,74,73,59,41,30
Lake Jackson C1016,1,Reg,69,21,21,26,27,29,61,44,47,25,15,18,22,19,17,32,52,39,30,36,42,63,54,63,92,86,71,47,30,31
Baytown Garth C1017,1,Reg,NA,NA,NA,NA,NA,NA,NA,48,51,40,18,26,35,26,26,30,57,33,25,36,46,51,50,45,60,78,75,59,43,30
Galveston 99th St. C1034/A320/X183,1,Reg,68,60,23,22,34,29,56,52,44,32,15,18,23,16,15,46,45,36,31,36,35,61,54,59,69,84,70,57,34,28
