Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Clear Brook High School C570,1,Non,26,18,22,34,43,42,52,70,57,45,34,25,17,17,22,19,19,19,47,24,18,29,21,26,25,33,26,22,18,15
Clear Creek High School C571,1,Non,20,15,18,29,45,43,51,59,55,43,30,18,13,14,15,17,16,15,36,NV,15,28,16,30,24,34,22,19,NV,NA
HRM-3 Haden Road C603/A114,1,Non,25,18,35,35,49,35,48,60,58,47,35,27,21,20,25,23,21,22,55,26,17,28,26,27,26,34,27,26,21,18
Wallisville Road C617,1,Non,25,25,30,33,45,36,50,56,58,51,35,24,19,23,24,25,23,21,41,25,19,33,23,24,23,32,30,25,25,18
Danciger C618,1,Non,23,21,23,28,39,39,64,60,49,40,33,24,16,15,16,15,16,17,20,44,32,33,21,17,18,25,18,21,14,13
Texas City 34th St. C620,1,Non,30,27,24,40,52,53,53,63,66,61,45,29,22,20,21,20,20,20,30,32,20,35,20,46,28,39,32,26,19,18
UH Moody Tower C695,1,Non,29,23,41,40,54,44,56,71,63,51,41,29,18,21,25,22,18,20,59,30,21,31,26,27,28,39,28,27,20,17
U of H-Sugarland C696,1,Non,30,27,40,40,49,41,65,82,59,50,40,32,21,19,22,21,19,21,50,NV,NV,33,26,34,36,50,29,32,19,16
UH Coastal Center C697,1,Non,27,25,22,36,48,48,51,64,61,47,38,25,18,17,17,18,18,18,31,28,19,32,17,31,26,33,26,25,17,15
UH WG Jones Forest C698,1,Non,31,30,33,44,39,36,56,57,76,65,51,44,34,38,41,37,34,32,30,NV,25,32,51,25,23,32,36,33,33,32
UH West Liberty C699,1,Non,24,23,23,24,36,28,46,48,53,48,30,19,16,24,30,31,27,24,26,21,17,29,28,20,15,27,29,27,30,20
Lake Jackson C1016,1,Reg,27,22,23,28,39,42,62,65,55,45,35,27,19,18,18,16,18,19,23,38,25,31,21,22,22,26,21,22,14,16
Baytown Garth C1017,1,Reg,27,27,32,34,48,35,52,59,63,56,35,24,19,22,25,25,23,23,42,26,20,34,26,27,23,34,33,27,21,17
Galveston 99th St. C1034/A320/X183,1,Reg,30,28,26,42,56,56,54,73,69,64,49,31,20,21,20,19,20,19,29,38,19,37,18,37,31,37,36,28,23,19
Oyster Creek C1607,1,Non,24,22,22,35,45,43,53,66,56,50,40,25,19,17,17,17,16,17,18,32,21,28,16,20,22,27,21,22,16,13
