Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston Croquet C409,2,Reg,56,57,51,32,33,25,19,25,23,20,23,27,27,45,65,40,20,16,18,20,22,28,25,39,23,22,21,37,50,30,65
Houston Westhollow C410/C3003,1,Reg,72,62,49,37,35,29,22,27,26,24,28,27,33,44,60,43,24,20,25,21,25,34,31,46,23,24,27,40,60,38,67
Park Place C416,1,Reg,59,70,61,34,36,29,21,27,25,22,28,29,31,56,86,55,22,18,23,24,26,29,24,41,25,23,24,49,61,36,58
Sheldon C551,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,29
Baytown Wetlands Center C552,1,Non,35,57,60,33,39,31,21,27,27,20,26,29,32,54,67,49,20,14,17,20,24,23,22,29,29,20,27,33,31,33,46
Crosby Library C553,1,Non,36,45,47,39,43,39,31,30,30,29,34,41,49,39,41,49,26,20,28,28,34,25,25,34,25,26,39,24,43,35,40
West Houston C554,1,Non,45,57,41,33,35,29,19,50,49,20,34,33,31,33,65,NV,NA,NA,NV,15,NV,NA,NA,NA,NA,NA,NV,38,62,38,61
La Porte Sylvan Beach C556,1,Non,30,42,47,26,29,25,17,23,22,16,21,23,23,49,72,49,18,14,15,18,20,22,23,26,23,16,21,26,31,38,41
Mercer Arboretum C557,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,22,31,29,25,33,18,27,37,23,45,46,43
Tom Bass C558,1,Non,52,56,53,35,35,NV,NA,NV,24,21,24,27,27,48,74,44,21,18,21,22,23,30,24,39,24,23,24,40,53,31,62
Katy Park C559,1,Non,NA,NA,NA,NA,NA,NV,22,27,25,22,25,27,32,39,55,44,24,21,24,21,25,37,33,45,22,25,25,38,56,37,59
Atascocita C560,1,Non,41,43,43,44,49,37,31,31,28,29,32,43,45,33,NV,NV,27,23,30,28,35,29,27,34,26,29,41,17,46,44,45
Meyer Park C561,1,Non,49,51,44,43,44,32,26,28,30,33,31,39,43,36,50,58,26,23,33,22,35,44,25,47,22,28,36,34,67,61,55
Bunker Hill Village C562,1,Non,NA,NA,NA,NA,NA,NA,NV,24,26,27,24,29,33,40,55,33,17,15,17,16,23,28,23,39,17,23,24,33,54,29,58
Huffman Wolf Road C563,1,Non,43,44,42,46,42,46,40,39,41,40,38,51,51,39,42,52,33,28,37,40,40,28,30,34,30,34,46,26,49,39,45
HRM-3 Haden Road C603/A114,1,Non,50,60,54,36,40,28,24,NV,NV,24,28,33,41,53,NV,NV,22,NV,NV,24,24,28,18,40,26,23,31,49,44,40,48
Wallisville Road C617,1,Non,41,55,54,42,49,39,29,NA,NA,NA,NA,NA,NV,42,43,50,24,21,24,26,31,25,27,37,32,28,35,35,38,35,48
Danciger C618,1,Non,32,35,36,30,18,24,NV,NV,23,20,25,24,24,28,NV,NV,21,NA,NA,NV,9,14,12,16,10,13,10,12,NV,NV,43
Texas City 34th St. C620,1,Non,40,47,51,35,30,25,NV,28,25,NA,NA,NV,NA,NA,NA,NA,NA,NA,NV,19,20,27,26,29,28,19,25,31,42,47,50
UH Moody Tower C695,1,Non,66,67,63,37,43,33,23,29,27,24,28,34,39,58,88,61,24,20,26,26,29,33,26,45,26,25,28,54,67,40,66
UH WG Jones Forest C698,1,Non,45,49,NV,24,NV,46,36,35,38,39,39,45,43,36,49,60,33,29,42,30,41,39,33,33,30,35,47,35,60,53,56
UH West Liberty C699,1,Non,37,37,38,40,33,37,33,33,38,32,34,44,45,32,34,46,29,21,30,28,32,25,24,28,26,29,39,21,39,32,39
Lynchburg Ferry C1015/A165,1,Reg,40,60,58,33,40,32,22,28,29,22,26,28,34,48,68,55,22,18,22,24,26,24,23,34,27,24,32,41,37,36,44
Lake Jackson C1016,1,Reg,28,32,NV,NV,19,17,14,23,20,15,20,19,17,21,30,23,16,15,15,16,18,NV,22,26,19,NV,15,22,34,24,39
Baytown Garth C1017,1,Reg,39,54,51,40,47,37,27,31,32,26,32,38,49,NV,NV,52,25,20,24,27,34,26,28,37,32,NA,NV,NV,40,37,49
Galveston 99th St. C1034/A320/X183,1,Reg,39,38,36,31,26,21,16,23,21,17,23,22,19,30,81,43,19,21,19,22,25,NV,28,29,27,18,20,28,41,50,55
UH Smith Point C1606,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,NV,NA,NA,NV,19,19,NV,NV,27,29,32,32,21,26,31,37,45,49
Oyster Creek C1607,1,Non,28,30,34,25,22,19,15,23,21,16,21,19,18,22,33,25,16,17,16,20,20,24,26,26,23,19,16,22,34,37,42
