Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
HRM-3 Haden Road C603/A114,1,Non,22,32,43,16,34,41,39,24,24,40,43,26,33,27,22,33,36,41,34,38,38,NV,50,36,60,67,91,62,47,48,30
Wallisville Road C617,1,Non,25,38,49,16,43,42,42,32,29,34,57,39,43,33,26,42,49,50,NV,NV,48,52,81,45,60,64,81,71,71,64,38
Danciger C618,1,Non,14,15,18,12,31,45,37,24,13,17,17,15,15,11,14,14,16,17,17,19,18,17,23,42,60,58,50,32,25,25,22
Texas City 34th St. C620,1,Non,16,16,27,23,35,48,44,33,23,29,25,23,24,22,21,23,20,20,21,23,22,23,30,56,65,77,87,51,41,33,40
UH Moody Tower C695,1,Non,21,30,41,28,45,53,52,33,29,37,43,32,32,27,24,34,38,42,34,36,38,37,48,59,71,83,93,57,41,59,41
UH WG Jones Forest C698,1,Non,36,52,38,20,37,36,37,40,21,65,39,45,48,36,26,35,31,38,35,42,35,28,44,48,59,66,76,85,49,50,49
UH West Liberty C699,1,Non,31,47,45,16,27,28,38,32,23,41,46,NV,41,36,31,44,44,44,48,52,47,37,55,40,52,51,63,NV,53,42,31
Lynchburg Ferry C1015/A165,1,Reg,20,28,39,16,35,42,37,26,18,34,41,36,38,29,20,NV,40,42,40,36,39,43,60,44,58,63,86,63,51,52,27
Lake Jackson C1016,1,Reg,17,16,24,17,30,50,38,29,21,22,20,18,20,18,18,19,18,19,19,21,19,20,23,50,61,66,58,34,19,25,27
Baytown Garth C1017,1,Reg,27,39,50,18,44,42,42,33,30,34,58,40,44,34,28,44,50,51,51,47,49,52,71,44,60,63,81,71,66,59,34
Galveston 99th St. C1034/A320/X183,1,Reg,17,15,38,NV,NV,45,44,33,24,22,21,21,19,18,18,18,19,17,18,19,20,17,20,51,62,107,71,38,28,23,37
UH Smith Point C1606,1,Non,17,20,35,32,35,50,40,38,32,33,31,30,27,31,24,29,28,24,23,26,29,23,34,58,68,79,78,54,41,34,35
Oyster Creek C1607,1,Non,16,16,30,24,28,47,39,30,20,21,20,NV,23,20,19,20,18,19,20,22,20,19,23,52,61,67,62,36,21,20,31
