Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Tom Bass C558,1,Non,57,77,52,47,72,77,58,38,39,34,39,45,32,26,25,19,15,15,18,22,31,41,26,20,24,25,23,33,34,42
Katy Park C559,1,Non,55,64,56,64,59,65,57,39,44,36,43,44,34,27,28,18,14,16,17,19,17,32,29,25,22,NV,22,41,52,42
Atascocita C560,1,Non,56,74,58,53,NV,50,79,53,54,48,59,63,50,41,39,26,24,23,24,27,25,32,38,30,33,34,36,41,43,52
Meyer Park C561,1,Non,67,90,68,58,51,58,82,46,45,39,62,63,49,34,33,23,21,19,21,24,23,31,32,29,29,28,33,50,57,66
Bunker Hill Village C562,1,Non,60,89,61,64,62,74,63,41,43,35,46,49,39,32,31,21,18,20,19,21,20,29,30,23,26,25,27,44,52,52
Huffman Wolf Road C563,1,Non,50,55,53,51,53,52,71,52,46,45,46,59,54,41,39,31,28,29,29,29,27,36,37,28,36,39,37,41,37,43
Clear Brook High School C570,1,Non,49,67,56,45,68,73,58,37,37,33,43,45,29,25,26,21,17,19,19,21,20,30,26,21,25,27,20,28,28,36
Clear Creek High School C571,1,Non,39,70,58,44,68,81,61,38,40,34,44,52,25,24,25,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clear Lake High School C572,1,Non,47,67,59,45,67,74,61,39,42,35,44,54,26,26,28,21,17,20,20,21,20,30,27,21,25,28,23,29,27,32
HRM-3 Haden Road C603/A114,1,Non,49,68,53,48,58,52,58,38,41,32,45,54,33,26,26,20,16,16,18,18,17,26,24,21,23,25,22,29,40,35
Wallisville Road C617,1,Non,52,71,64,50,64,60,70,48,46,45,45,62,40,33,33,24,19,25,23,25,21,37,35,26,32,33,31,31,35,35
Danciger C618,1,Non,46,56,56,46,61,68,45,40,42,33,39,38,33,32,29,24,22,21,25,26,26,44,32,30,27,27,26,35,32,36
Mustang Bayou C619,1,Non,52,78,66,56,78,104,62,42,45,42,43,46,30,31,31,24,22,22,24,25,24,36,31,25,28,29,24,32,31,28
Texas City 34th St. C620,1,Non,15,30,NV,NA,NA,74,60,35,40,34,40,49,24,22,24,17,15,17,18,20,19,30,26,20,23,25,19,28,23,26
UH Moody Tower C695,1,Non,64,84,66,56,68,70,66,NV,43,37,53,53,37,30,31,23,20,19,22,25,24,37,NV,NV,30,31,30,39,44,47
U of H-Sugarland C696,1,Non,49,63,55,57,72,80,54,40,40,37,39,41,32,29,28,20,17,17,19,20,20,41,33,27,24,23,25,32,38,34
UH Coastal Center C697,1,Non,46,82,64,48,65,85,61,38,38,34,40,47,24,24,25,19,19,19,22,22,21,30,28,22,24,28,21,31,29,31
UH WG Jones Forest C698,1,Non,64,97,66,58,56,62,96,63,67,57,74,68,62,43,44,32,31,26,28,33,31,42,51,45,41,39,51,56,49,64
UH West Liberty C699,1,Non,53,67,56,54,56,57,NA,NV,45,44,44,58,54,42,41,32,27,32,29,28,26,NA,40,30,36,39,37,39,37,44
Lynchburg Ferry C1015/A165,1,Reg,45,63,64,42,60,55,60,40,42,38,40,59,31,28,30,23,19,21,21,22,21,34,NV,NV,27,NV,NV,28,33,25
Lake Jackson C1016,1,Reg,39,52,50,42,60,62,41,35,38,31,36,29,25,23,23,19,18,18,21,21,20,31,28,21,22,23,20,26,23,26
Galveston 99th St. C1034/A320/X183,1,Reg,47,95,65,47,73,112,58,39,41,37,40,53,24,19,21,14,NV,NA,NA,NA,NA,NV,28,28,27,26,23,30,28,NV
