Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Tom Bass C558,1,Non,39,21,20,21,21,19,18,21,37,39,31,27,23,31,44,89,57,57,54,31,NV,NA,NA,NA,NA,NV,28,50,57,50,46
Atascocita C560,1,Non,NV,53,40,36,36,33,38,40,64,40,38,42,45,40,26,55,50,44,57,42,36,35,41,35,34,22,38,NV,NV,74,80
Meyer Park C561,1,Non,56,53,38,31,32,28,30,42,79,52,47,40,38,34,39,62,56,52,62,46,42,46,50,41,38,22,52,81,NV,NV,77
Bunker Hill Village C562,1,Non,58,34,28,29,28,24,25,31,50,44,36,35,NV,NV,41,72,61,59,77,42,50,53,58,45,33,17,37,73,60,60,61
Huffman Wolf Road C563,1,Non,53,57,39,35,39,37,41,44,54,38,33,44,48,NV,25,40,50,43,52,42,35,39,40,34,35,22,37,55,56,67,62
HRM-3 Haden Road C603/A114,1,Non,68,34,27,26,27,24,26,27,55,36,34,33,36,50,35,64,53,53,60,37,36,38,47,43,31,16,35,70,64,67,66
Wallisville Road C617,1,Non,67,47,31,32,31,27,31,34,42,41,33,37,41,48,30,50,54,50,59,39,39,34,47,42,31,23,37,64,67,78,65
Danciger C618,1,Non,29,24,24,25,24,24,23,24,36,41,33,32,23,33,53,68,80,69,61,32,31,33,52,56,33,21,29,55,55,43,44
Mustang Bayou C619,1,Non,22,18,17,19,19,18,17,18,31,31,NV,23,20,23,40,68,60,50,47,29,32,29,42,44,22,22,29,46,49,50,42
Texas City 34th St. C620,1,Non,NV,NV,16,16,17,15,15,15,35,31,32,25,22,28,34,54,57,56,NA,NA,NV,30,48,45,28,26,33,52,67,60,46
UH Moody Tower C695,1,Non,64,NV,NV,27,26,23,25,27,52,43,NV,NV,NA,NV,NV,81,58,59,69,37,47,NV,NV,41,27,21,40,67,65,60,57
U of H-Sugarland C696,1,Non,43,24,21,23,NV,19,NV,NV,37,48,34,28,28,NV,50,63,66,65,64,39,54,41,NV,53,30,22,29,55,58,56,50
UH Coastal Center C697,1,Non,26,20,17,19,NV,19,20,21,38,36,25,22,22,27,38,65,63,55,49,29,36,30,46,49,25,21,33,56,59,57,45
UH WG Jones Forest C698,1,Non,52,62,44,NV,36,32,36,NV,76,46,42,45,35,NV,NA,NA,57,50,NV,48,40,42,47,40,35,25,38,NV,55,63,79
UH West Liberty C699,1,Non,47,54,35,31,35,NV,36,39,45,34,28,40,42,29,25,38,49,39,51,36,33,37,37,30,32,17,34,48,48,61,55
Lynchburg Ferry C1015/A165,1,Reg,56,27,22,24,21,19,22,20,36,28,24,25,25,38,21,39,36,37,38,NV,37,29,44,41,29,21,32,54,62,66,55
Lake Jackson C1016,1,Reg,20,14,16,17,18,16,16,16,32,31,32,20,17,21,38,62,65,58,49,27,26,27,39,43,22,16,24,50,47,48,42
Baytown Garth C1017,1,Reg,61,41,27,30,27,24,27,29,36,37,29,34,36,44,28,42,48,45,52,30,32,26,40,38,28,21,32,53,59,65,56
Galveston 99th St. C1034/A320/X183,1,Reg,18,17,17,15,16,15,16,16,37,36,31,24,18,24,33,56,60,48,46,31,32,29,44,40,30,29,37,54,57,54,43
