Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston Monroe C406,1,Reg,34,29,37,36,33,30,27,33,39,37,42,47,54,55,22,26,33,35,21,16,22,35,54,34,83,57,51,37,24,25
Lang C408,2,Reg,39,35,47,54,39,37,30,38,40,36,50,NV,52,54,30,25,37,44,19,14,26,37,41,41,73,62,50,40,23,35
Houston Croquet C409,2,Reg,34,30,38,44,39,36,29,32,40,39,44,58,64,56,25,28,34,37,23,17,26,37,65,48,78,58,49,37,25,30
Houston Westhollow C410/C3003,1,Reg,35,28,36,49,47,40,31,32,40,40,48,56,61,64,28,35,35,39,22,16,28,39,46,45,69,56,47,37,23,31
Houston Texas Avenue C411,1,Reg,35,34,43,40,35,33,26,32,38,35,47,45,52,53,25,23,32,37,17,12,24,34,45,36,75,59,47,36,22,26
Park Place C416,1,Reg,35,31,42,41,38,34,26,35,41,39,45,52,63,54,24,26,35,38,20,15,22,35,58,39,89,65,53,41,24,31
Sheldon C551,1,Non,38,31,48,40,27,27,19,30,35,32,43,37,46,44,23,23,29,35,18,16,23,30,37,NV,72,59,48,35,22,23
Baytown Wetlands Center C552,1,Non,33,29,38,31,29,25,20,28,35,34,37,39,48,48,19,22,28,28,15,12,18,28,42,28,64,54,51,44,23,23
Crosby Library C553,1,Non,45,35,55,44,35,32,22,32,39,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,63,53,37,43
West Houston C554,1,Non,36,32,40,56,46,45,36,35,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,32,43,47,46,70,64,52,42,26,37
La Porte Sylvan Beach C556,1,Non,36,26,35,33,33,28,24,33,41,37,NV,NA,NA,NA,NA,NA,NA,NA,NA,NV,17,30,39,21,124,NV,NA,NA,NA,NV
Mercer Arboretum C557,1,Non,46,37,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,70,81,56,35,21,40
Tom Bass C558,1,Non,29,27,35,38,33,30,22,26,33,34,36,44,52,50,17,21,28,30,18,12,20,33,53,40,80,57,48,36,23,23
Katy Park C559,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,35,38,43,47,26,17,34,44,50,48,70,60,48,39,27,35
Atascocita C560,1,Non,47,39,57,NV,NA,NA,NA,NA,NA,NA,NA,NA,NV,50,28,27,37,40,23,17,27,37,38,35,67,75,52,40,22,35
Meyer Park C561,1,Non,42,34,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,77,86,63,42,26,40
Bunker Hill Village C562,1,Non,38,34,43,55,47,41,32,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,16,28,41,44,50,72,61,48,38,24,32
Huffman Wolf Road C563,1,Non,45,35,46,43,40,34,25,32,40,38,49,44,49,45,28,30,35,39,22,NV,NA,NA,NA,37,61,68,51,41,23,32
HRM-3 Haden Road C603/A114,1,Non,38,37,55,40,36,28,24,34,40,37,48,46,55,53,24,24,34,37,20,15,25,35,52,36,83,66,52,38,24,22
Wallisville Road C617,1,Non,48,39,53,43,38,31,24,33,42,40,48,45,56,52,25,30,35,38,21,19,26,36,54,35,76,67,63,55,31,27
Danciger C618,1,Non,27,22,27,30,31,29,27,33,34,38,39,48,57,47,26,26,33,33,23,16,29,48,45,47,60,53,41,30,24,25
Mustang Bayou C619,1,Non,27,22,26,30,28,27,22,29,35,35,38,39,49,44,20,22,30,30,20,19,22,31,39,40,62,58,49,39,28,22
Texas City 34th St. C620,1,Non,32,23,29,37,33,31,29,34,44,41,45,45,56,52,26,32,38,36,27,24,31,39,51,35,89,62,59,48,37,22
UH Moody Tower C695,1,Non,36,34,44,44,42,35,28,34,41,39,35,50,58,58,25,29,36,39,20,16,26,36,52,40,83,65,54,41,24,32
U of H-Sugarland C696,1,Non,NV,NV,NV,44,42,42,NV,34,41,NV,NV,66,65,63,29,NV,40,41,24,19,31,45,71,46,72,60,50,NV,28,33
UH Coastal Center C697,1,Non,29,23,28,35,32,30,22,31,41,39,42,42,54,49,23,28,36,36,24,19,27,35,44,39,79,64,61,46,35,23
UH WG Jones Forest C698,1,Non,45,36,46,NV,46,41,NV,37,44,42,NV,47,53,51,32,28,39,44,27,NV,35,41,38,51,65,89,55,42,21,42
UH West Liberty C699,1,Non,43,32,42,42,38,32,21,29,37,36,47,40,44,42,25,25,31,30,NA,NA,NV,29,30,30,41,41,NV,33,19,28
Lynchburg Ferry C1015/A165,1,Reg,34,33,42,34,31,26,20,31,37,36,39,39,50,49,20,25,32,34,19,15,22,28,42,28,76,62,55,49,31,21
Lake Jackson C1016,1,Reg,22,19,22,28,28,23,23,28,31,36,36,38,48,41,21,25,29,29,19,17,22,34,37,41,57,54,45,35,24,21
Baytown Garth C1017,1,Reg,42,35,45,35,31,26,22,29,35,34,40,38,49,46,22,24,30,31,19,17,23,31,46,NV,NA,NA,NA,NA,NA,NA
Galveston 99th St. C1034/A320/X183,1,Reg,36,20,19,35,27,25,25,36,42,43,40,42,53,43,21,31,32,NV,NV,NV,21,32,34,NV,65,63,60,48,38,21
