Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Mercer Arboretum C557,1,Non,26,34,50,79,43,47,49,67,24,52,25,31,45,81,45,28,37,31,40,30,38,36,31,36,30,45,54,55,49,56
Tom Bass C558,1,Non,14,36,70,39,30,25,60,49,24,21,17,16,16,23,22,15,19,20,18,18,18,16,15,24,18,22,25,37,54,56
Atascocita C560,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,30,40,59,56,49,57
Meyer Park C561,1,Non,23,35,55,86,51,37,45,60,21,43,23,26,38,68,38,20,29,30,37,33,38,34,30,36,32,46,53,52,55,60
Bunker Hill Village C562,1,Non,21,36,75,60,52,41,54,59,23,36,22,23,38,44,30,23,30,31,29,24,26,25,24,28,22,8,NV,NA,NA,NA
Huffman Wolf Road C563,1,Non,29,33,43,52,33,57,43,63,29,50,31,36,57,57,52,30,38,37,NV,33,36,32,31,32,30,42,56,54,48,54
HRM-3 Haden Road C603/A114,1,Non,20,39,54,59,40,36,58,59,24,33,21,23,39,50,34,22,30,28,NV,21,24,24,20,25,22,31,42,60,57,65
Wallisville Road C617,1,Non,22,42,48,52,NV,NV,50,63,27,36,28,26,51,61,37,26,32,38,33,26,28,29,28,28,23,31,51,57,NV,NA
Danciger C618,1,Non,14,27,78,38,27,32,62,52,25,26,22,25,21,21,20,22,24,22,21,21,20,19,21,27,22,24,27,32,49,65
Mustang Bayou C619,1,Non,16,36,65,33,28,26,67,50,23,22,17,18,19,19,17,17,19,20,19,18,15,17,14,21,17,21,22,24,42,56
Texas City 34th St. C620,1,Non,16,45,48,36,27,33,56,58,27,24,18,17,16,20,17,16,18,19,18,18,17,22,21,22,18,20,22,25,38,71
UH Moody Tower C695,1,Non,20,40,68,54,47,34,60,59,30,34,23,24,29,40,29,21,29,33,28,24,25,21,22,28,24,28,36,NV,60,64
U of H-Sugarland C696,1,Non,16,36,85,43,NV,32,53,53,26,25,19,19,21,24,21,18,23,24,20,18,21,19,18,23,19,NV,28,NV,51,57
UH Coastal Center C697,1,Non,17,42,53,33,27,30,64,51,23,23,16,17,14,16,16,15,17,18,18,NV,15,17,15,NV,16,19,24,NV,40,64
UH WG Jones Forest C698,1,Non,30,NV,54,71,42,38,51,69,26,71,29,38,42,75,NV,27,35,32,43,41,48,46,38,43,38,53,NV,NV,56,61
UH West Liberty C699,1,Non,23,33,40,42,31,45,40,59,25,37,26,29,51,46,51,28,33,36,38,29,30,28,29,28,25,35,54,NV,43,52
Lynchburg Ferry C1015/A165,1,Reg,16,34,39,44,28,37,46,51,23,28,18,18,34,43,28,18,24,29,23,19,21,22,20,24,19,24,33,53,49,54
Lake Jackson C1016,1,Reg,15,29,72,32,24,28,67,48,21,21,14,19,13,12,13,15,16,15,15,NV,NV,16,15,23,17,19,19,26,34,55
Baytown Garth C1017,1,Reg,19,35,41,46,30,41,42,53,24,21,24,22,43,53,32,22,27,32,28,22,24,25,24,24,20,26,47,56,49,55
Galveston 99th St. C1034/A320/X183,1,Reg,18,45,52,34,28,38,59,51,29,24,18,17,15,11,12,18,17,17,16,18,18,25,21,21,18,19,16,19,21,58
