Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Baytown Wetlands Center C552,1,Non,19,17,24,11,8,9,10,10,13,9,16,8,12,22,25,12,25,20,26,21,33,21,11,13,13,17,23,38,31,33
Crosby Library C553,1,Non,40,38,45,36,24,30,34,37,35,17,34,36,30,31,39,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Houston C554,1,Non,20,20,21,24,22,20,21,20,23,22,22,25,20,21,22,22,24,22,27,24,30,23,22,22,22,22,NA,NA,NA,NA
La Porte Sylvan Beach C556,1,Non,46,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,31,38,38,23,58,42,48,45,54,39,17,20,20,30,36,62,42,41
Mercer Arboretum C557,1,Non,20,17,20,18,10,20,17,15,11,8,15,19,15,15,13,13,17,16,24,19,23,23,14,12,12,13,17,26,21,21
Tom Bass C558,1,Non,45,52,56,26,16,18,17,17,23,19,44,36,32,42,33,24,40,24,35,38,52,32,12,12,16,29,37,62,47,51
Katy Park C559,1,Non,42,38,43,41,18,21,15,15,17,17,31,55,32,33,39,33,37,22,34,36,53,37,15,17,19,23,31,44,41,42
Atascocita C560,1,Non,37,30,33,34,19,35,34,32,28,18,31,35,29,27,25,21,28,29,47,31,37,39,19,16,20,19,28,48,36,34
Meyer Park C561,1,Non,39,35,37,37,17,31,21,22,17,16,28,36,25,27,19,20,27,23,44,33,41,44,19,18,17,18,29,42,37,37
Bunker Hill Village C562,1,Non,53,48,52,43,13,21,15,19,20,14,41,56,29,32,46,31,45,30,54,46,58,40,16,16,17,31,42,57,53,49
Huffman Wolf Road C563,1,Non,40,32,36,34,20,26,38,36,33,12,29,32,23,26,29,23,27,27,40,32,40,35,16,15,18,17,29,50,39,37
Clear Brook High School C570,1,Non,53,NV,NA,NA,18,20,20,17,22,25,52,37,30,37,31,23,NV,NA,NV,40,51,36,14,14,20,32,45,80,54,47
Clear Creek High School C571,1,Non,58,49,52,30,20,22,19,20,26,28,64,35,31,38,35,27,53,33,43,48,56,40,14,16,20,28,49,81,57,41
HRM-3 Haden Road C603/A114,1,Non,44,42,49,39,22,29,27,26,25,19,39,NV,NV,36,41,28,46,41,84,37,52,43,16,19,17,NV,33,62,43,47
Wallisville Road C617,1,Non,46,41,48,39,26,27,31,32,35,23,36,40,37,37,46,29,42,43,60,43,55,40,17,20,26,28,33,55,44,46
Danciger C618,1,Non,64,53,41,25,17,18,14,NV,18,19,38,37,NV,32,34,36,NV,20,26,39,55,33,10,12,17,27,47,50,NV,44
Texas City 34th St. C620,1,Non,51,50,66,34,25,27,26,31,33,36,56,42,38,40,42,32,53,30,50,53,61,46,21,22,24,38,52,81,60,49
UH Moody Tower C695,1,Non,54,56,58,43,25,27,28,27,29,25,52,61,42,43,51,34,58,40,66,48,66,47,20,19,23,NV,44,70,53,53
U of H-Sugarland C696,1,Non,62,64,78,39,23,25,19,21,25,26,49,57,41,60,51,45,45,31,49,45,77,43,20,20,24,13,NV,65,61,66
UH Coastal Center C697,1,Non,48,53,57,26,21,NV,NV,23,27,30,62,40,31,36,NV,30,36,22,43,52,54,40,16,18,20,34,50,78,68,44
UH WG Jones Forest C698,1,Non,51,42,45,48,30,52,41,39,32,29,38,43,37,31,37,28,37,33,48,43,53,49,32,28,31,26,39,58,44,46
UH West Liberty C699,1,Non,NV,33,38,34,19,23,31,30,33,17,30,36,30,27,29,24,NV,NA,NV,33,42,32,16,17,20,18,30,47,37,37
Lynchburg Ferry C1015/A165,1,Reg,38,35,44,33,22,26,27,28,30,23,34,33,29,31,37,23,45,34,54,34,54,38,14,19,19,25,33,56,40,42
Lake Jackson C1016,1,Reg,65,52,59,27,22,22,19,19,25,25,42,41,31,37,36,36,25,20,32,40,57,40,17,15,22,23,50,56,73,51
Baytown Garth C1017,1,Reg,45,39,45,36,24,24,28,29,33,20,33,37,35,35,45,27,39,41,59,41,54,39,15,18,24,26,35,53,43,44
Galveston 99th St. C1034/A320/X183,1,Reg,50,60,NA,49,26,26,24,35,35,35,57,45,37,40,39,33,39,24,NV,51,58,42,18,21,24,36,46,68,56,50
UH Smith Point C1606,1,Non,47,44,60,34,25,25,29,33,36,39,42,36,37,38,42,29,72,46,54,53,65,42,21,21,25,33,40,59,52,NV
