Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston Texas Avenue C411,1,Reg,29,32,31,48,62,18,10,13,19,16,24,44,54,59,62,45,29,33,30,25,34,31,24,28,45,40,37,52,51,60
Park Place C416,1,Reg,38,38,35,58,57,20,14,17,22,18,24,51,73,66,70,52,34,34,33,31,36,36,29,29,52,44,44,60,59,67
Sheldon C551,1,Non,34,42,33,46,57,17,12,17,23,24,34,34,51,73,72,37,34,36,35,31,38,35,27,30,39,41,41,62,56,62
Baytown Wetlands Center C552,1,Non,30,33,37,53,55,21,16,21,18,17,24,36,55,58,63,39,35,37,36,34,38,31,30,28,42,43,42,61,56,65
Crosby Library C553,1,Non,34,36,31,45,60,17,16,22,27,29,38,29,48,64,67,35,39,39,38,38,NV,NV,31,30,39,41,41,59,55,62
West Houston C554,1,Non,49,45,40,54,76,19,11,19,20,19,27,33,64,66,76,67,36,41,35,38,38,34,29,35,54,41,40,55,55,67
La Porte Sylvan Beach C556,1,Non,36,39,40,60,58,26,20,24,19,18,24,49,67,62,70,39,38,39,38,38,42,37,34,31,41,45,44,70,63,74
Mercer Arboretum C557,1,Non,41,52,32,42,65,22,15,21,30,29,36,34,47,93,89,45,44,41,37,39,40,38,41,35,43,41,40,56,58,62
Tom Bass C558,1,Non,33,33,38,66,58,18,15,18,20,15,19,35,62,55,70,50,30,30,30,36,37,32,29,29,56,47,47,65,60,76
Katy Park C559,1,Non,43,39,32,46,71,18,11,14,15,15,20,28,57,51,64,66,32,32,32,38,38,32,28,32,48,38,38,53,57,65
Atascocita C560,1,Non,35,45,31,41,59,19,15,20,28,28,38,28,46,77,75,37,40,38,36,37,42,40,35,33,35,38,39,56,55,58
Meyer Park C561,1,Non,45,44,26,35,57,20,13,18,21,20,23,30,44,81,88,47,42,38,33,36,39,37,33,36,41,39,38,53,50,59
Bunker Hill Village C562,1,Non,41,40,43,52,74,18,10,16,17,17,24,34,63,56,72,57,31,36,32,33,32,32,29,29,54,42,44,57,59,70
Huffman Wolf Road C563,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,31,29,36,41,41,54,52,61
Clear Brook High School C570,1,Non,32,31,43,60,56,18,15,16,17,17,17,49,55,62,69,45,28,27,30,28,35,33,28,28,43,43,47,68,74,74
Clear Creek High School C571,1,Non,32,34,40,69,62,20,16,19,15,15,21,54,49,62,71,36,30,31,33,34,39,34,30,29,40,51,47,85,85,77
Clear Lake High School C572,1,Non,36,40,47,65,60,20,18,20,17,19,22,54,57,69,73,41,34,32,35,38,41,37,33,33,46,47,45,80,83,79
HRM-3 Haden Road C603/A114,1,Non,32,36,31,47,58,18,11,16,20,19,30,39,59,70,71,38,32,35,32,28,36,29,30,25,44,37,38,58,57,59
Wallisville Road C617,1,Non,37,39,39,51,62,20,20,25,24,23,37,39,63,63,69,42,40,41,41,38,41,36,34,32,45,45,46,63,59,69
Danciger C618,1,Non,33,32,35,47,59,17,16,16,15,15,16,20,39,49,68,53,26,27,28,31,35,31,27,24,42,38,45,58,65,87
Mustang Bayou C619,1,Non,31,36,52,50,66,22,21,20,18,18,18,27,NV,59,78,41,31,35,32,38,38,34,30,27,39,56,60,83,88,85
Texas City 34th St. C620,1,Non,34,35,39,62,60,20,15,18,14,13,16,41,53,63,71,40,26,31,31,36,36,33,29,31,36,50,51,78,79,77
UH Moody Tower C695,1,Non,44,45,45,62,70,26,18,24,30,24,31,57,80,76,83,60,41,41,43,39,46,43,35,39,61,53,51,70,66,76
U of H-Sugarland C696,1,Non,36,36,41,61,62,20,16,17,17,17,20,32,66,53,69,60,35,30,35,40,39,34,30,31,65,41,42,56,57,76
UH Coastal Center C697,1,Non,35,35,45,65,61,24,20,22,17,15,21,44,57,59,74,38,30,33,31,36,39,33,32,30,38,55,53,79,84,74
UH WG Jones Forest C698,1,Non,44,59,36,45,63,23,19,27,31,31,32,32,48,96,90,50,48,44,41,43,44,46,49,37,45,46,45,60,58,67
UH West Liberty C699,1,Non,39,38,36,45,65,21,20,25,36,36,41,29,53,63,68,38,54,46,46,41,40,34,34,32,39,45,44,55,55,63
Lynchburg Ferry C1015/A165,1,Reg,24,28,33,51,57,23,17,18,18,19,25,36,64,63,66,41,35,40,39,37,37,32,30,27,45,40,40,57,48,60
Lake Jackson C1016,1,Reg,31,36,40,50,55,19,15,14,14,13,14,19,36,NV,66,44,28,31,28,32,36,31,28,26,36,42,51,61,67,70
Galveston 99th St. C1034/A320/X183,1,Reg,36,36,36,58,56,NV,NA,NV,15,16,14,31,57,59,63,35,32,37,35,37,37,NV,NV,28,38,47,47,72,78,76
