Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Crosby Library C553,1,Non,47,46,57,51,52,46,45,65,51,45,37,38,44,30,21,18,24,18,24,25,21,19,26,27,35,33,33,29,29,29,29
West Houston C554,1,Non,38,40,41,20,19,19,19,19,22,19,23,20,19,19,20,20,20,20,22,22,23,21,21,20,20,21,20,21,22,21,20
La Porte Sylvan Beach C556,1,Non,25,29,37,40,25,25,26,33,27,26,22,22,30,25,23,22,24,16,18,17,21,19,19,21,32,39,36,33,28,38,32
Mercer Arboretum C557,1,Non,12,19,27,27,19,10,12,25,30,21,13,17,18,11,9,8,9,7,10,12,10,9,12,12,12,15,15,12,12,12,14
Tom Bass C558,1,Non,19,17,21,29,19,18,17,21,23,20,18,16,23,19,21,21,18,11,13,14,20,14,14,16,24,42,38,33,23,33,40
Katy Park C559,1,Non,21,24,24,36,22,20,18,27,31,22,22,21,30,20,28,18,17,20,14,14,27,18,15,14,26,37,37,27,28,31,27
Atascocita C560,1,Non,39,49,64,54,44,37,36,57,49,40,24,35,39,25,20,18,22,15,19,22,21,16,22,26,27,33,30,24,25,24,23
Meyer Park C561,1,Non,32,39,52,50,35,25,25,42,46,31,23,26,32,16,18,14,14,12,16,20,18,12,19,22,26,31,30,21,22,23,27
Bunker Hill Village C562,1,Non,29,33,37,40,31,27,27,36,39,29,25,23,32,17,22,17,18,10,12,16,26,14,15,19,29,44,43,31,26,34,39
Huffman Wolf Road C563,1,Non,43,39,51,49,53,43,38,60,50,45,36,44,42,20,13,14,21,16,23,22,15,14,25,27,27,28,29,19,24,22,23
Clear Brook High School C570,1,Non,21,21,29,37,22,22,21,24,24,17,17,18,NV,NV,25,23,21,12,16,15,20,16,15,15,24,38,40,35,28,39,42
Clear Creek High School C571,1,Non,22,25,33,35,19,19,18,25,25,20,19,18,23,23,25,23,21,17,16,14,21,17,15,15,28,41,40,35,28,41,35
HRM-3 Haden Road C603/A114,1,Non,31,46,61,50,34,32,37,NV,50,36,32,26,35,28,27,22,21,10,18,20,23,15,18,19,27,41,0,0,NV,38,34
Wallisville Road C617,1,Non,37,40,NV,44,40,43,47,NV,44,44,40,30,42,30,28,22,27,24,21,22,26,21,24,25,33,44,39,33,33,37,35
Danciger C618,1,Non,16,15,19,27,18,19,18,20,20,17,NV,18,23,19,22,19,20,NV,NV,15,19,13,12,13,22,36,52,33,32,31,34
Texas City 34th St. C620,1,Non,23,30,38,45,24,27,26,30,26,22,21,22,30,30,33,29,28,24,20,19,26,25,23,22,41,50,48,43,NV,46,NV
UH Moody Tower C695,1,Non,NV,31,41,45,NV,29,29,33,38,35,30,27,36,29,26,26,25,13,20,21,30,19,23,24,34,51,NV,34,30,44,42
U of H-Sugarland C696,1,Non,25,24,26,38,24,24,24,31,32,25,26,23,34,24,33,26,25,22,18,17,29,23,16,18,28,55,NV,44,35,42,50
UH Coastal Center C697,1,Non,20,22,27,38,NV,22,20,22,21,18,17,18,NV,25,28,25,24,18,16,15,24,20,17,17,27,44,NV,40,33,41,40
UH WG Jones Forest C698,1,Non,52,63,73,76,58,32,33,62,63,45,33,37,51,26,27,25,24,24,29,31,23,24,35,39,36,39,39,31,31,32,35
UH West Liberty C699,1,Non,44,NV,38,40,44,38,34,NV,NV,38,40,40,NV,NA,NV,17,22,19,24,24,16,16,24,22,29,32,33,21,25,23,NV
Lynchburg Ferry C1015/A165,1,Reg,28,47,51,45,34,31,35,51,44,35,28,25,34,28,21,17,20,10,18,18,22,16,17,21,33,35,34,27,27,35,30
Lake Jackson C1016,1,Reg,18,19,24,37,19,20,17,18,21,16,17,17,20,23,22,24,22,18,17,17,19,13,15,16,24,48,56,35,34,38,37
Baytown Garth C1017,1,Reg,37,40,42,43,40,42,45,55,46,44,40,31,42,26,25,19,23,20,17,20,23,19,22,23,31,42,37,30,30,35,33
Galveston 99th St. C1034/A320/X183,1,Reg,NA,NV,29,45,23,23,22,23,22,17,19,18,29,31,34,30,30,24,20,20,28,22,22,22,47,58,47,40,41,52,52
UH Smith Point C1606,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,44
