Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Lang C408,2,Reg,41,34,30,29,19,24,21,21,17,49,64,25,53,31,21,21,21,20,26,37,29,21,19,19,16,19,20,15,17,20
Houston Croquet C409,2,Reg,36,31,27,28,17,24,17,17,16,52,49,19,41,26,19,21,20,20,28,32,24,18,20,18,16,19,20,17,17,19
Houston Westhollow C410/C3003,1,Reg,41,34,30,30,19,21,20,19,18,49,49,20,47,25,20,21,21,22,27,31,23,19,21,19,18,19,19,16,16,21
Houston Texas Avenue C411,1,Reg,36,28,26,25,18,19,20,19,13,45,53,19,36,29,20,19,21,17,27,33,26,17,16,16,12,15,17,13,15,20
Park Place C416,1,Reg,37,29,24,27,19,22,21,21,NA,NV,51,20,36,30,21,20,22,17,31,35,26,19,19,19,12,17,19,15,17,19
Sheldon C551,1,Non,37,33,31,41,30,32,32,32,25,60,70,30,49,43,29,30,30,23,40,44,42,31,29,26,19,23,26,22,25,29
Baytown Wetlands Center C552,1,Non,27,23,22,26,17,23,17,17,16,55,51,16,29,28,18,20,19,18,31,33,26,17,16,17,13,16,20,11,15,15
Crosby Library C553,1,Non,28,27,24,38,25,31,26,24,18,52,72,27,49,40,23,25,25,21,33,36,39,24,21,20,14,13,21,14,19,24
West Houston C554,1,Non,NA,NA,NV,28,17,19,17,17,15,42,43,19,44,24,20,20,18,18,23,28,20,15,16,14,13,15,15,13,13,17
La Porte Sylvan Beach C556,1,Non,31,28,NV,NA,19,24,18,19,19,60,52,20,36,30,20,25,22,22,34,39,27,21,20,NV,NA,NA,NA,NA,NA,NA
Mercer Arboretum C557,1,Non,32,31,28,41,25,30,33,25,18,45,70,34,59,44,27,24,28,19,43,52,36,25,21,20,14,16,22,14,18,26
Tom Bass C558,1,Non,28,25,23,24,16,15,16,16,14,45,37,14,31,21,16,17,17,17,25,28,20,15,16,15,13,14,17,12,12,16
Katy Park C559,1,Non,44,35,34,25,17,19,19,18,17,45,46,19,41,25,19,18,19,21,25,29,22,18,21,18,17,19,18,16,16,19
Atascocita C560,1,Non,31,27,26,43,26,31,29,25,16,46,73,29,55,41,24,25,27,16,38,44,35,22,21,22,14,16,22,14,19,25
Meyer Park C561,1,Non,39,37,34,36,24,25,28,21,19,45,61,33,55,37,23,25,25,21,40,48,32,23,17,19,13,18,21,15,18,25
Bunker Hill Village C562,1,Non,35,32,28,27,17,19,19,18,16,45,54,21,45,26,19,21,20,21,27,33,24,19,18,18,15,17,19,15,15,19
Huffman Wolf Road C563,1,Non,26,24,24,37,26,32,30,24,20,45,72,29,46,39,23,24,27,22,15,30,31,NV,NA,23,14,NV,NA,15,20,24
HRM-3 Haden Road C603/A114,1,Non,34,28,24,33,22,21,23,22,16,53,62,20,42,33,19,19,21,16,34,41,33,21,19,21,14,13,18,10,15,20
Wallisville Road C617,1,Non,32,29,26,34,23,30,24,23,22,63,78,26,43,38,24,26,25,23,39,39,37,23,22,28,15,21,26,17,21,22
Danciger C618,1,Non,38,27,24,22,16,17,15,15,17,50,30,15,28,17,17,18,17,19,22,22,19,16,19,13,16,18,16,15,14,17
Mustang Bayou C619,1,Non,29,29,22,24,18,18,16,17,18,51,31,17,33,19,17,20,18,18,29,29,22,18,18,17,22,23,23,17,16,17
Texas City 34th St. C620,1,Non,32,29,26,25,19,20,15,17,17,57,39,15,30,27,18,22,18,19,33,34,21,18,18,18,20,20,24,17,18,18
UH Moody Tower C695,1,Non,42,34,31,32,23,23,23,NV,18,57,61,22,43,34,23,23,24,22,34,40,30,20,22,NV,18,NV,NV,17,18,24
U of H-Sugarland C696,1,Non,34,30,25,27,16,16,17,16,16,48,40,16,38,20,16,19,17,20,23,25,19,17,18,15,18,17,17,14,13,17
UH Coastal Center C697,1,Non,30,29,25,24,17,19,15,16,17,57,36,15,32,21,18,21,18,18,31,32,20,17,17,17,19,22,23,18,18,16
UH WG Jones Forest C698,1,Non,35,33,32,50,NV,40,39,27,24,52,NV,42,NV,52,33,30,34,24,48,59,39,26,28,25,NV,23,30,19,23,35
UH West Liberty C699,1,Non,35,32,31,44,33,NV,21,NA,NV,39,62,29,NV,NV,24,24,26,NV,NV,42,47,29,30,34,20,22,27,21,25,32
Lynchburg Ferry C1015/A165,1,Reg,26,23,22,26,19,21,16,19,17,49,52,16,34,29,18,21,18,16,30,33,28,20,18,19,16,17,19,14,14,19
Lake Jackson C1016,1,Reg,25,NV,20,22,17,17,14,16,17,44,24,15,29,16,16,19,17,18,25,23,17,16,19,17,18,20,19,16,16,17
Baytown Garth C1017,1,Reg,31,27,25,33,23,29,23,22,20,57,72,25,40,36,23,26,24,22,36,37,35,23,21,27,16,NV,NV,17,23,23
Galveston 99th St. C1034/A320/X183,1,Reg,27,25,25,23,18,18,15,15,17,44,30,14,33,30,18,19,18,18,30,34,23,18,21,21,NV,27,27,NV,NV,21
