Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston Westhollow C410/C3003,1,Reg,19,22,23,23,23,29,34,45,49,76,61,25,22,35,49,53,43,48,58,69,65,78,69,55,50,49,50,25,15,37
Houston Texas Avenue C411,1,Reg,18,24,26,28,26,34,40,43,48,63,56,20,19,31,48,58,41,45,44,54,63,71,70,55,48,48,48,31,15,34
Park Place C416,1,Reg,18,23,24,25,25,33,36,44,48,67,57,22,25,NV,50,62,43,48,48,65,61,64,59,56,51,52,47,29,16,33
Sheldon C551,1,Non,15,23,27,34,27,43,45,35,41,55,54,19,15,28,37,50,41,38,41,51,57,39,50,60,47,45,39,24,10,33
Baytown Wetlands Center C552,1,Non,20,23,22,25,24,42,39,43,45,56,57,22,24,37,42,57,43,41,46,57,53,40,43,65,53,49,40,27,16,37
Crosby Library C553,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,NV,NA,NA,NA,NA,NV,47,NV,6,36
West Houston C554,1,Non,18,21,21,24,22,27,34,41,48,68,68,23,19,31,45,48,41,45,56,68,71,68,81,56,51,53,61,29,13,37
La Porte Sylvan Beach C556,1,Non,16,15,14,15,12,22,23,35,32,40,39,11,15,27,37,41,38,30,NV,NA,NV,42,47,67,57,55,41,30,19,36
Mercer Arboretum C557,1,Non,20,30,33,40,42,49,58,40,44,57,65,29,22,30,44,42,40,44,43,55,69,51,60,71,57,64,56,33,13,36
Tom Bass C558,1,Non,17,19,20,20,20,24,25,46,52,65,56,21,24,32,48,57,45,48,59,74,58,53,51,56,49,47,43,22,16,37
Katy Park C559,1,Non,19,21,21,22,21,25,28,42,44,68,63,26,20,36,41,40,40,44,51,72,68,67,67,54,47,50,57,29,15,36
Atascocita C560,1,Non,21,31,33,43,38,49,55,39,43,56,62,30,27,32,39,53,41,41,39,50,63,41,54,69,56,56,49,28,15,35
Meyer Park C561,1,Non,20,24,27,32,34,37,49,41,44,55,68,29,21,33,42,43,38,45,44,55,75,59,67,66,53,60,61,34,13,37
Bunker Hill Village C562,1,Non,19,24,27,29,28,36,40,46,51,67,63,21,22,30,49,55,43,48,54,65,67,73,75,56,49,46,51,25,13,37
Huffman Wolf Road C563,1,Non,27,36,40,49,45,53,59,42,47,61,64,NV,28,36,42,45,38,41,41,53,58,42,50,77,62,55,48,31,19,38
HRM-3 Haden Road C603/A114,1,Non,18,24,27,29,28,43,49,41,48,63,59,21,16,32,46,61,43,41,45,61,60,57,57,62,49,52,45,32,14,36
Wallisville Road C617,1,Non,21,26,30,34,33,55,53,43,43,60,60,25,25,35,38,59,42,42,44,55,56,45,46,68,NA,NV,44,30,17,39
Danciger C618,1,Non,16,20,22,22,21,25,27,56,67,62,60,18,25,36,52,62,41,52,54,64,61,47,42,52,51,48,41,17,19,41
Mustang Bayou C619,1,Non,18,22,19,20,19,20,20,49,49,51,53,21,27,37,50,57,49,52,56,57,53,44,43,57,51,49,38,18,19,35
Texas City 34th St. C620,1,Non,NV,NV,19,NA,NA,NA,NV,43,39,44,49,17,27,38,48,65,NV,47,59,55,56,42,49,64,59,57,44,22,18,39
UH Moody Tower C695,1,Non,17,19,19,21,20,28,31,41,44,61,54,21,21,28,48,53,49,53,52,63,68,82,70,62,56,55,51,36,20,39
U of H-Sugarland C696,1,Non,14,15,15,14,11,NV,NA,NA,NA,NV,64,25,23,34,56,57,44,48,65,76,69,62,51,58,51,51,52,NV,18,39
UH Coastal Center C697,1,Non,19,20,19,20,18,20,21,46,44,48,53,19,28,37,48,61,52,52,58,57,56,45,50,62,55,51,44,22,20,37
UH WG Jones Forest C698,1,Non,27,29,33,40,39,41,59,44,49,52,65,46,27,39,45,41,39,47,45,52,55,50,50,72,57,67,48,31,16,37
UH West Liberty C699,1,Non,23,31,35,45,42,47,56,39,43,60,61,29,24,35,39,46,37,39,39,51,54,38,44,70,55,50,45,26,13,34
Lynchburg Ferry C1015/A165,1,Reg,21,22,23,28,26,45,46,38,40,56,56,25,25,30,42,57,41,36,40,48,53,43,43,62,51,49,40,30,17,34
Lake Jackson C1016,1,Reg,19,21,18,NV,14,16,16,50,56,56,54,17,25,39,49,57,44,52,54,61,55,42,40,53,50,48,37,15,17,37
Baytown Garth C1017,1,Reg,21,25,29,33,31,52,52,41,42,57,56,25,25,35,38,56,40,40,43,52,54,44,45,67,53,49,43,30,16,36
Galveston 99th St. C1034/A320/X183,1,Reg,21,16,16,15,14,17,18,45,47,52,52,22,27,34,48,61,57,42,52,56,50,39,53,65,59,56,46,24,21,36
