Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Lang C408,2,Reg,49,37,31,50,79,75,48,37,47,43,35,42,50,55,41,32,28,24,24,26,36,29,33,NV,46,71,24,33,33,27
Houston Croquet C409,2,Reg,52,38,50,51,60,57,39,32,46,41,30,39,60,58,48,35,28,30,25,29,32,29,30,44,38,48,26,31,29,23
Houston Westhollow C410/C3003,1,Reg,53,42,NV,62,70,65,39,35,46,45,36,43,63,61,50,39,29,34,29,33,35,30,34,49,43,67,31,35,32,26
Park Place C416,1,Reg,51,39,47,52,64,68,46,36,47,44,32,40,60,58,51,35,35,30,21,33,35,31,32,46,42,56,26,34,35,28
Sheldon C551,1,Non,33,27,23,47,65,61,25,22,23,20,10,16,23,21,17,16,15,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baytown Wetlands Center C552,1,Non,43,32,44,47,52,64,53,40,50,42,23,30,50,51,42,32,33,29,23,33,28,27,29,36,38,39,34,34,34,27
Crosby Library C553,1,Non,39,31,27,50,62,64,74,53,51,45,27,37,40,48,37,34,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV
West Houston C554,1,Non,49,39,37,53,76,69,40,36,47,42,39,46,55,57,43,38,28,28,26,31,36,30,34,53,43,78,29,34,32,26
La Porte Sylvan Beach C556,1,Non,36,27,33,38,46,63,41,33,44,38,23,28,43,43,35,30,31,26,23,33,26,22,21,32,37,33,32,32,32,27
Mercer Arboretum C557,1,Non,36,29,22,36,72,67,52,44,50,39,28,36,38,42,31,28,22,12,17,21,30,28,25,42,45,45,18,33,31,28
Tom Bass C558,1,Non,57,42,48,50,60,59,40,34,47,42,32,41,60,61,47,34,31,28,21,31,32,27,28,44,36,49,26,30,28,24
Katy Park C559,1,Non,51,42,44,57,74,65,38,34,48,46,39,39,59,58,44,42,32,34,26,29,33,31,34,50,40,68,29,33,32,25
Atascocita C560,1,Non,36,NV,NA,NA,NA,NA,NA,NA,NA,NA,NV,28,31,32,26,26,24,16,15,24,22,23,19,31,37,37,17,27,26,21
Meyer Park C561,1,Non,44,36,28,45,90,80,51,42,51,43,38,52,47,52,39,37,27,19,23,27,40,32,40,63,56,70,26,42,41,34
Bunker Hill Village C562,1,Non,46,36,37,53,68,65,39,32,42,37,30,35,53,53,42,31,20,22,17,22,27,20,21,31,32,60,19,23,24,19
Huffman Wolf Road C563,1,Non,43,34,30,45,64,64,77,56,54,48,32,40,47,50,40,36,33,31,31,37,31,33,31,42,51,53,33,38,36,31
HRM-3 Haden Road C603/A114,1,Non,46,34,37,51,63,69,55,39,49,46,30,39,52,54,45,32,30,27,21,32,34,NV,30,41,43,55,27,37,34,28
Wallisville Road C617,1,Non,41,32,33,52,57,59,68,47,51,44,28,35,49,51,43,36,38,34,29,40,33,33,32,39,41,48,35,36,34,29
Danciger C618,1,Non,61,48,38,45,54,51,30,29,47,43,30,37,53,61,49,42,35,28,NV,38,35,30,NV,50,34,42,31,33,28,24
Texas City 34th St. C620,1,Non,60,41,40,50,60,72,43,41,52,46,31,41,59,59,53,43,40,36,27,43,37,33,34,45,43,42,38,40,39,33
UH Moody Tower C695,1,Non,52,40,45,60,71,74,49,39,47,47,34,42,61,59,52,37,34,33,27,34,37,32,34,49,45,67,28,35,35,28
UH WG Jones Forest C698,1,Non,46,37,29,43,78,72,57,56,62,54,41,NV,47,51,41,39,32,25,27,34,37,41,42,59,67,58,38,49,46,41
UH West Liberty C699,1,Non,38,29,27,40,56,56,72,49,48,41,28,34,44,45,36,31,27,29,27,32,28,27,25,29,41,44,29,31,28,24
Lynchburg Ferry C1015/A165,1,Reg,40,32,36,48,59,60,57,41,50,42,25,34,48,49,41,31,32,29,24,31,27,27,31,37,41,41,29,34,30,26
Lake Jackson C1016,1,Reg,55,40,29,40,48,45,23,28,42,39,25,31,52,57,41,36,34,33,17,36,33,29,25,41,34,34,27,32,29,27
Baytown Garth C1017,1,Reg,43,34,35,54,60,62,70,48,52,46,29,37,52,53,44,36,39,33,30,40,33,33,31,41,41,48,34,37,35,30
Galveston 99th St. C1034/A320/X183,1,Reg,64,45,35,51,58,65,42,46,52,48,33,40,61,58,53,42,40,39,26,43,36,32,40,43,NV,42,38,41,39,35
UH Smith Point C1606,1,Non,54,37,38,46,57,70,48,42,52,46,32,37,NV,56,48,38,38,37,31,42,34,34,33,41,42,NV,NV,38,37,NA
Oyster Creek C1607,1,Non,62,45,32,48,47,44,27,38,45,40,27,31,54,61,49,36,34,32,18,35,31,27,26,38,35,35,30,NV,28,28
