Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
West Houston C554,1,Non,50,56,71,74,71,78,49,38,47,28,26,27,27,21,22,17,15,13,18,15,18,19,24,35,29,16,21,19,17,19
La Porte Sylvan Beach C556,1,Non,66,90,98,72,71,78,70,NV,NA,NA,NV,34,33,30,24,26,19,19,25,20,26,22,29,35,36,24,30,29,18,26
Mercer Arboretum C557,1,Non,48,48,79,71,44,55,75,47,43,58,34,34,27,23,16,12,14,12,20,18,20,31,33,61,46,23,23,22,22,19
Tom Bass C558,1,Non,63,69,52,56,50,71,39,33,45,29,20,22,21,19,19,16,17,13,15,13,14,12,17,22,24,32,18,19,13,19
Katy Park C559,1,Non,49,52,63,63,58,59,43,30,42,NV,NA,NA,NA,NA,23,15,17,13,17,12,13,14,21,26,25,NV,19,NV,16,16
Atascocita C560,1,Non,45,46,70,66,44,43,66,58,52,56,32,32,25,25,17,16,15,18,26,20,23,25,25,57,41,26,27,25,20,21
Meyer Park C561,1,Non,44,53,81,79,49,65,61,38,39,51,33,32,29,23,17,14,15,10,19,16,17,23,44,56,36,18,20,19,19,17
Bunker Hill Village C562,1,Non,52,62,65,65,63,74,47,41,48,45,26,22,24,21,19,15,13,14,19,17,17,20,25,32,33,19,21,20,16,17
Huffman Wolf Road C563,1,Non,43,36,55,52,39,43,60,59,49,63,32,23,21,NA,NA,14,NA,NA,NA,19,20,22,18,36,44,27,23,25,21,22
Clear Brook High School C570,1,Non,79,82,66,68,53,84,49,39,46,36,23,28,27,25,21,21,20,18,20,18,18,16,27,34,27,20,26,27,NV,NV
Clear Creek High School C571,1,Non,70,96,77,68,61,75,59,39,NV,NA,NV,31,29,30,23,22,18,19,22,19,22,20,32,40,33,22,26,29,21,26
Clear Lake High School C572,1,Non,66,83,75,64,60,74,58,37,47,35,22,27,26,26,20,19,16,16,21,16,18,17,27,35,28,19,26,26,18,21
HRM-3 Haden Road C603/A114,1,Non,64,65,107,74,70,82,75,61,64,51,30,29,25,23,19,15,17,18,23,19,18,18,29,49,38,21,31,28,18,19
Wallisville Road C617,1,Non,50,50,78,59,51,60,60,58,61,44,25,26,25,23,20,19,15,18,26,19,24,21,22,29,40,24,33,31,19,24
Danciger C618,1,Non,NV,63,68,69,57,55,41,34,43,30,22,29,21,21,19,21,NV,13,16,14,14,13,20,23,20,16,17,18,14,26
Mustang Bayou C619,1,Non,70,63,62,59,55,64,43,37,38,31,21,28,27,24,22,22,17,18,21,17,19,17,21,22,27,19,22,25,19,24
Texas City 34th St. C620,1,Non,63,95,79,71,64,79,55,43,43,NV,NA,NV,29,31,24,25,21,20,23,20,23,21,32,37,31,21,27,27,20,28
UH Moody Tower C695,1,Non,69,77,76,76,75,95,56,50,60,44,28,28,27,26,22,19,21,20,25,19,22,21,33,38,37,22,28,26,19,21
U of H-Sugarland C696,1,Non,62,62,59,58,55,59,40,32,48,33,23,24,25,22,24,19,19,17,19,15,16,16,22,24,25,17,23,25,17,24
UH Coastal Center C697,1,Non,58,65,61,57,49,68,40,32,34,28,18,26,17,18,16,13,NA,NA,17,14,15,15,19,25,21,15,19,19,14,21
UH WG Jones Forest C698,1,Non,53,57,75,68,52,57,83,41,46,62,46,45,36,29,NV,NV,NV,NV,NV,NV,NV,NV,41,73,53,25,27,29,25,23
UH West Liberty C699,1,Non,NV,49,64,62,50,56,66,72,61,71,39,28,29,25,22,21,22,23,37,28,28,31,27,36,57,36,35,NV,34,30
Lynchburg Ferry C1015/A165,1,Reg,47,55,87,58,59,62,62,51,63,41,25,27,24,24,18,19,16,18,22,17,20,18,21,33,36,20,30,27,17,19
Lake Jackson C1016,1,Reg,59,59,65,61,53,55,38,31,33,26,21,30,NV,24,21,21,20,17,19,17,18,NV,19,25,25,18,19,18,NA,NV
Baytown Garth C1017,1,Reg,55,56,89,70,61,69,68,69,71,54,30,NV,27,26,24,21,17,20,30,22,27,25,26,33,47,28,36,34,21,26
Galveston 99th St. C1034/A320/X183,1,Reg,67,83,73,69,67,92,47,40,38,28,26,32,30,28,24,25,21,20,20,20,21,23,26,32,26,20,21,31,20,32
