Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Bunker Hill Village C562,1,Non,54,21,20,24,24,18,20,22,22,16,16,21,19,21,22,39,28,36,31,45,64,53,32,29,30,25,20,19,27,24,21
Huffman Wolf Road C563,1,Non,42,29,24,26,34,24,24,31,31,22,21,22,29,28,31,44,34,29,23,30,41,63,46,36,23,35,15,21,40,38,26
Clear Brook High School C570,1,Non,44,19,20,22,20,21,20,20,21,18,16,19,21,20,17,40,26,27,26,35,41,46,25,21,26,29,18,31,24,22,19
Clear Creek High School C571,1,Non,45,20,19,22,22,19,17,NV,NA,NA,NA,NA,NA,NA,NV,39,27,28,24,29,32,46,24,19,25,27,18,29,23,22,17
HRM-3 Haden Road C603/A114,1,Non,50,21,20,23,23,22,23,24,25,18,NV,21,23,22,26,47,36,37,25,39,50,63,35,36,31,29,13,18,33,34,20
Wallisville Road C617,1,Non,42,25,22,25,26,23,22,25,26,21,NV,NV,23,23,28,41,34,32,29,29,41,59,39,42,30,36,21,30,39,40,25
Danciger C618,1,Non,40,17,19,22,24,21,20,19,19,18,17,21,19,NV,17,34,27,24,28,NV,36,40,NV,16,NV,21,16,NV,19,NV,15
Texas City 34th St. C620,1,Non,47,18,21,24,31,25,24,24,23,22,20,22,22,21,18,50,35,34,NV,38,43,55,28,25,NV,35,24,41,24,28,21
UH Moody Tower C695,1,Non,56,21,19,20,21,20,21,22,23,16,16,23,23,18,25,43,30,36,31,43,54,59,29,26,33,34,17,26,28,28,21
U of H-Sugarland C696,1,Non,50,18,19,23,22,21,21,21,22,18,15,20,21,19,18,38,28,31,35,34,46,44,29,24,NV,32,26,27,26,27,21
UH Coastal Center C697,1,Non,42,17,19,22,27,22,19,19,18,17,15,18,18,17,17,41,26,26,29,34,42,45,25,20,NV,28,NV,30,19,22,NV
UH WG Jones Forest C698,1,Non,57,32,26,32,41,36,40,40,37,24,32,38,38,41,36,65,48,51,33,NV,61,78,52,43,35,48,23,29,37,36,29
UH West Liberty C699,1,Non,37,30,22,24,NV,NA,NA,NA,NA,NA,NA,NA,NA,27,30,41,30,27,25,25,37,54,42,34,23,35,16,27,38,37,25
Lynchburg Ferry C1015/A165,1,Reg,43,22,22,24,24,24,24,26,22,20,18,21,23,24,22,42,33,33,24,31,42,56,33,36,29,29,16,20,33,34,21
Lake Jackson C1016,1,Reg,46,17,20,24,28,22,21,20,19,18,17,20,21,18,17,41,27,26,29,32,35,47,24,18,20,25,20,24,21,22,18
Baytown Garth C1017,1,Reg,41,24,21,24,24,21,22,NV,NA,NV,NV,NV,NV,16,29,40,34,NV,29,33,39,62,42,43,30,33,20,29,39,41,25
Galveston 99th St. C1034/A320/X183,1,Reg,49,19,24,25,32,25,22,22,20,19,18,20,20,20,27,47,35,30,35,38,43,53,28,21,36,35,29,36,25,24,20
