Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Clear Creek High School C571,1,Non,27,26,29,29,26,30,39,54,42,18,27,NV,21,29,43,25,21,16,27,46,55,58,57,57,37,53,46,41,37,37
Clear Lake High School C572,1,Non,24,24,27,27,23,29,35,53,41,17,26,24,16,24,39,21,NV,NV,25,40,50,49,49,51,31,46,42,37,33,35
HRM-3 Haden Road C603/A114,1,Non,26,24,25,25,23,40,33,51,42,22,33,18,15,20,40,22,12,9,20,42,52,40,43,57,32,54,41,33,25,35
Wallisville Road C617,1,Non,29,29,25,29,25,41,35,50,56,20,42,24,18,24,39,25,19,15,23,46,53,42,48,59,36,54,43,37,27,36
Danciger C618,1,Non,22,23,21,20,18,21,19,49,22,16,18,22,24,29,41,21,17,14,18,37,49,69,57,60,34,49,38,32,45,30
Mustang Bayou C619,1,Non,24,24,23,24,19,23,27,60,30,15,22,27,17,29,37,22,18,15,22,42,46,57,49,54,31,48,37,34,NV,36
Texas City 34th St. C620,1,Non,24,23,24,22,18,18,28,44,22,11,14,19,14,19,31,19,16,12,24,38,38,36,51,48,29,43,34,31,32,30
UH Moody Tower C695,1,Non,27,28,33,28,29,35,40,71,44,23,32,19,20,27,50,25,17,12,21,49,61,55,51,64,34,57,48,43,32,45
U of H-Sugarland C696,1,Non,24,23,NV,21,23,23,26,64,28,18,23,24,21,28,47,22,19,16,19,42,59,55,51,66,34,50,49,39,41,36
UH Coastal Center C697,1,Non,24,24,25,25,20,20,33,58,30,14,21,26,17,25,39,21,17,15,26,42,44,46,53,53,31,46,38,34,35,35
UH WG Jones Forest C698,1,Non,40,37,35,NV,42,40,37,42,63,34,49,26,20,27,35,30,25,16,25,38,46,39,41,48,40,46,40,32,31,44
UH West Liberty C699,1,Non,NV,29,25,28,27,30,33,36,60,29,50,24,17,21,33,NV,22,17,23,49,47,33,40,51,38,51,36,30,25,37
Lynchburg Ferry C1015/A165,1,Reg,22,22,21,23,22,38,26,46,41,18,29,19,14,18,30,15,14,13,17,35,40,31,37,50,28,47,37,31,20,31
Lake Jackson C1016,1,Reg,23,24,22,20,17,21,23,55,NV,16,19,23,22,34,37,21,19,15,20,40,46,58,53,56,33,49,39,35,45,34
Baytown Garth C1017,1,Reg,26,27,24,26,23,38,32,47,51,20,39,23,17,22,37,24,19,16,23,43,48,39,44,55,34,52,40,35,25,34
Galveston 99th St. C1034/A320/X183,1,Reg,28,28,28,NV,25,25,39,73,46,20,26,32,22,28,42,28,24,22,40,50,51,49,58,60,47,58,46,40,45,39
