Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston Monroe C406,1,Reg,43,32,37,44,30,33,20,21,17,22,32,56,63,49,30,21,17,20,16,19,18,23,22,30,66,48,41,32,39,39,18
Lang C408,2,Reg,43,35,40,50,44,46,29,31,20,27,42,59,61,69,44,25,21,25,21,21,24,33,33,48,60,48,42,36,33,46,23
Houston Croquet C409,2,Reg,46,40,47,53,35,38,22,24,22,23,36,66,74,58,33,24,19,23,18,22,19,27,27,31,76,58,53,37,36,43,22
Houston Westhollow C410/C3003,1,Reg,43,34,42,56,39,43,25,25,20,22,34,56,67,76,34,24,19,23,19,24,20,30,29,35,64,53,49,38,34,41,21
Houston Texas Avenue C411,1,Reg,42,32,40,48,33,37,21,23,21,25,38,57,54,59,35,23,18,21,17,17,17,27,26,40,56,45,41,32,35,43,20
Park Place C416,1,Reg,47,34,39,46,34,39,23,25,19,25,38,57,66,53,37,23,19,NV,18,NV,NV,29,27,39,63,51,47,36,42,46,22
Sheldon C551,1,Non,34,24,26,29,27,32,21,21,19,21,29,35,34,44,36,17,13,14,12,14,13,21,19,33,NV,NA,NA,NA,NA,NA,NA
Baytown Wetlands Center C552,1,Non,45,30,33,37,31,32,21,22,22,23,38,49,51,44,36,25,19,19,15,20,17,27,25,33,50,41,34,29,37,36,18
Crosby Library C553,1,Non,41,29,30,37,39,48,33,33,30,32,41,47,41,57,54,29,25,28,23,23,28,43,40,47,37,37,35,33,39,42,17
West Houston C554,1,Non,33,26,33,44,33,33,20,20,16,20,27,40,47,61,29,19,16,17,16,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Porte Sylvan Beach C556,1,Non,54,36,38,42,38,37,24,25,24,26,39,56,54,51,39,26,23,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mercer Arboretum C557,1,Non,37,29,32,36,41,51,34,39,28,30,33,44,42,62,60,29,23,28,20,26,29,48,48,63,35,36,38,42,38,48,21
Tom Bass C558,1,Non,39,34,39,43,26,30,16,18,15,19,26,51,63,41,22,14,10,14,11,11,12,17,16,18,62,38,32,26,31,31,13
Katy Park C559,1,Non,40,31,39,59,41,41,24,24,20,20,32,50,52,81,34,25,20,24,20,24,21,28,29,35,54,51,51,37,39,40,22
Atascocita C560,1,Non,38,28,31,35,40,48,33,33,30,34,39,44,36,55,60,29,21,26,21,25,25,41,42,55,38,34,34,35,38,43,18
Meyer Park C561,1,Non,37,30,35,40,46,52,32,34,25,26,34,51,49,69,53,30,24,29,24,25,28,46,44,60,50,44,44,47,43,51,27
Bunker Hill Village C562,1,Non,40,34,39,54,35,42,24,26,18,20,35,54,62,72,37,23,17,21,18,20,22,28,28,37,59,49,44,33,27,39,18
Huffman Wolf Road C563,1,Non,NA,26,28,32,31,48,35,33,32,36,35,42,33,52,56,29,21,26,21,23,19,34,34,34,26,26,28,24,28,30,10
Clear Brook High School C570,1,Non,48,39,49,47,35,36,24,26,22,25,34,65,63,51,35,24,22,25,19,26,23,25,22,34,NV,NV,41,35,43,40,22
Clear Creek High School C571,1,Non,50,44,50,45,38,35,24,25,24,24,32,66,55,52,38,25,24,28,19,26,22,27,27,40,NV,NA,NV,37,47,40,25
Clear Lake High School C572,1,Non,48,35,39,41,37,35,22,24,22,23,33,59,54,47,35,23,21,NV,18,24,21,26,27,37,68,52,40,34,42,39,20
HRM-3 Haden Road C603/A114,1,Non,48,34,35,46,40,41,26,26,22,29,47,53,55,55,45,26,21,23,18,23,22,31,33,55,56,46,44,32,39,46,19
Wallisville Road C617,1,Non,51,34,37,43,38,46,29,32,33,40,52,57,58,59,52,30,25,27,24,27,25,41,37,45,47,44,44,37,47,49,25
Danciger C618,1,Non,35,40,49,56,29,34,18,20,17,18,21,46,78,56,20,22,18,15,18,22,18,21,19,28,38,66,37,34,43,32,21
Mustang Bayou C619,1,Non,41,42,51,48,32,27,21,21,22,20,27,63,56,53,29,23,22,22,17,22,19,22,21,23,63,48,35,32,42,NV,21
Texas City 34th St. C620,1,Non,42,43,40,46,38,28,17,20,18,21,28,64,49,50,31,22,19,20,18,23,19,22,22,34,59,52,38,35,46,36,23
UH Moody Tower C695,1,Non,45,41,49,58,43,46,27,29,27,30,44,68,69,66,43,24,NV,28,22,24,23,33,31,45,70,55,56,41,48,53,25
U of H-Sugarland C696,1,Non,42,33,43,57,31,38,20,21,17,19,29,59,73,60,27,21,17,20,17,21,18,22,22,26,63,60,57,37,36,37,20
UH Coastal Center C697,1,Non,45,43,41,45,35,27,20,20,19,20,28,63,50,50,28,21,19,21,17,23,18,21,22,29,57,49,37,33,42,34,22
UH WG Jones Forest C698,1,Non,40,34,37,39,45,65,41,45,31,30,33,54,45,56,70,32,25,33,27,32,32,58,55,54,46,44,45,49,NV,NV,29
UH West Liberty C699,1,Non,41,32,34,38,33,53,42,40,40,42,42,NV,NV,63,68,35,29,35,26,29,33,51,46,49,39,39,43,36,43,43,22
Lynchburg Ferry C1015/A165,1,Reg,44,29,30,38,32,34,22,24,22,28,39,43,49,45,41,23,19,22,18,20,21,27,28,45,43,39,35,31,40,38,18
Lake Jackson C1016,1,Reg,22,42,47,50,29,27,17,18,17,17,19,41,59,55,22,20,18,18,17,21,17,19,18,26,NV,49,32,29,40,29,21
Baytown Garth C1017,1,Reg,47,32,34,40,36,45,28,29,30,38,47,52,53,57,50,29,24,27,23,26,24,39,34,41,43,43,42,35,45,45,24
Galveston 99th St. C1034/A320/X183,1,Reg,39,47,54,54,41,28,18,23,20,23,39,76,58,57,38,24,22,21,21,26,19,22,22,36,68,NV,39,38,51,42,29
