June 2010
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30

Houston-Galveston-Brazoria
,Houston East C1/G316,2,Reg,49,35,30,42,41,33,22,29,22,19,15,15,17,23,28,34,23,26,28,37,46,51,34,54,30,36,31,29,30,13
,Houston Aldine C8/AF108/X150 ,2,Reg,65,40,35,49,52,47,32,37,27,23,17,18,22,27,38,42,28,33,41,50,63,61,NV,50,43,46,44,37,NV,21
,Channelview C15/AH115 ,3,Reg,46,36,35,46,41,38,27,28,22,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Northwest Harris Co. C26/A110/X154,2,Reg,61,40,39,52,48,45,36,35,30,27,24,22,24,28,33,40,27,29,39,39,59,61,47,31,42,44,42,35,36,23
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,46,38,41,54,41,41,33,39,23,20,16,16,18,23,31,32,22,27,28,32,41,52,41,46,36,37,33,33,35,22
,Seabrook Friendship Park C45,1,Reg,40,36,44,59,38,36,35,32,21,19,15,16,19,20,29,29,19,22,23,29,36,48,38,30,38,34,31,29,31,22
,Houston Bayland Park C53/A146 ,1,Reg,43,34,37,53,43,32,28,32,22,22,16,15,18,20,24,34,20,21,28,26,34,39,34,35,30,31,31,28,40,19
,Conroe Relocated C78/A321,1,Reg,68,43,36,42,54,47,28,28,22,32,30,28,28,38,43,49,36,41,47,45,66,60,46,33,49,42,50,25,27,20
,Houston Regional Office C81,1,Reg,40,31,31,46,39,29,19,25,19,16,12,13,17,19,26,29,19,20,25,28,34,38,28,31,26,34,28,NV,29,14
,Manvel Croix Park C84,1,Reg,41,33,39,56,40,31,30,32,24,19,15,16,18,22,32,32,23,23,25,24,31,38,33,29,31,31,30,25,33,23
,Clinton C403/C304/AH113 ,3,Reg,44,31,29,49,40,33,25,34,21,18,13,14,18,20,28,28,21,22,25,31,38,43,33,40,31,36,30,26,34,19
,Houston North Wayside C405/C1033,1,Reg,48,31,26,43,40,35,23,29,21,18,14,15,18,21,25,32,21,23,30,37,45,45,28,45,30,36,32,29,29,17
,Houston Monroe C406,1,Reg,36,31,34,45,35,29,27,30,21,20,14,14,16,20,26,27,21,21,22,23,28,38,33,28,29,31,25,24,32,20
,Lang C408,2,Reg,46,36,36,46,46,39,21,25,22,21,17,17,19,22,29,38,22,25,32,30,44,46,33,NV,NV,34,33,35,31,17
,Houston Croquet C409,2,Reg,41,33,37,54,42,31,28,NV,23,22,16,15,18,20,26,33,20,21,28,24,30,38,34,32,32,31,31,25,41,20
,Houston Westhollow C410/C3003,1,Reg,41,33,39,53,44,34,28,32,21,19,16,17,18,21,24,33,20,21,24,26,32,39,28,33,28,31,29,28,40,20
,Houston Texas Avenue C411,1,Reg,40,29,28,41,39,32,21,26,21,18,14,14,17,20,26,29,20,20,24,27,35,40,30,30,29,35,29,29,35,18
,Park Place C416,1,Reg,45,35,35,50,NV,NA,NA,NV,24,21,16,16,19,23,30,32,23,24,26,28,35,45,37,33,32,38,31,28,35,19
,Sheldon C551,1,Non,55,37,37,48,46,43,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,38,42,28,30,19
,Baytown Wetlands Center C552,1,Non,43,37,43,51,39,36,32,28,23,20,16,17,21,21,33,31,21,24,30,33,40,45,38,32,36,33,33,27,35,21
,Crosby Library C553,1,Non,69,52,49,50,56,49,NV,NA,NA,NA,NA,NA,NA,NA,NV,46,28,38,47,47,60,56,39,52,40,37,41,28,32,20
,West Houston C554,1,Non,48,33,39,52,44,40,26,33,24,23,19,19,21,24,28,39,24,25,32,28,43,47,35,37,33,35,34,32,41,22
,Mercer Arboretum C557,1,Non,73,45,38,46,58,53,31,35,29,28,23,24,NV,36,45,52,34,42,50,57,71,69,50,54,47,49,51,23,32,22
,Tom Bass C558,1,Non,37,33,37,52,38,29,26,29,21,17,14,15,18,20,29,30,21,21,23,24,30,38,33,29,30,30,27,27,35,20
,Katy Park C559,1,Non,43,32,36,52,40,32,27,32,23,19,14,15,17,19,23,30,18,19,22,26,39,39,34,29,33,31,33,25,41,22
,Atascocita C560,1,Non,66,43,39,46,52,45,27,33,26,23,19,21,23,29,NV,NV,31,37,43,53,70,69,44,69,41,42,48,33,31,NV
,Meyer Park C561,1,Non,62,37,39,48,52,47,35,34,30,26,23,21,23,31,36,46,31,35,42,43,60,61,46,42,44,48,42,37,34,22
,Bunker Hill Village C562,1,Non,47,36,35,51,47,38,23,27,22,22,17,16,19,23,26,35,22,23,29,30,38,44,32,35,25,30,31,30,37,17
,Clear Brook High School C570,1,Non,37,32,39,53,37,28,30,31,22,19,14,15,17,20,29,25,20,22,21,25,30,44,34,30,32,32,27,25,29,20
,Clear Creek High School C571,1,Non,36,33,42,57,34,29,32,31,18,17,15,15,17,19,29,28,19,21,21,29,29,48,35,33,37,34,29,32,29,22
,Clear Lake High School C572,1,Non,41,36,42,56,39,36,33,33,21,18,15,15,17,20,29,29,20,23,23,29,31,48,37,33,36,34,31,31,32,22
,HRM-3 Haden Road C603/A114 ,1,Non,47,33,32,46,36,29,NV,NA,NA,NA,NV,13,16,21,28,33,21,25,28,35,43,50,32,55,30,33,31,23,33,17
,Wallisville Road C617 ,1,Non,55,42,47,48,47,42,31,34,28,25,20,19,24,29,37,39,24,33,38,43,48,49,39,60,41,35,34,32,37,22
,Danciger C618 ,1,Non,34,31,43,51,37,25,29,38,23,20,18,17,19,20,26,28,21,20,22,21,24,31,29,26,27,30,29,27,31,26
,Mustang Bayou C619 ,1,Non,33,35,43,50,37,28,29,29,21,19,17,15,19,21,30,28,21,22,20,20,24,35,30,26,27,25,25,24,24,20
,Texas City 34th St. C620 ,1,Non,32,33,44,57,33,27,29,27,18,16,13,13,17,20,28,25,19,18,17,19,28,45,33,28,30,28,27,28,25,20
,UH Moody Tower C695,1,Non,49,40,43,58,49,42,32,36,31,27,21,20,24,28,36,39,28,29,31,34,43,51,44,40,38,44,35,41,42,24
,U of H-Sugarland C696,1,Non,NA,NA,NV,50,40,30,34,35,20,18,15,16,18,20,24,29,19,NV,22,25,34,35,30,29,29,30,29,26,44,22
,UH Coastal Center C697,1,Non,33,38,43,56,36,29,32,29,21,19,16,16,18,18,30,27,19,20,17,19,28,43,37,32,30,28,27,29,26,22
,UH WG Jones Forest C698,1,Non,82,48,39,53,63,60,35,36,32,36,33,33,31,43,NV,NV,41,47,58,58,80,80,60,42,62,54,60,35,36,25
,UH West Liberty C699,1,Non,47,41,38,33,44,41,21,28,26,21,18,17,22,29,34,39,25,35,41,38,49,43,33,38,37,32,31,27,28,19
,Lynchburg Ferry C1015/A165 ,1,Reg,46,41,39,48,40,38,32,35,25,20,18,16,20,21,30,32,23,26,29,36,49,48,42,52,42,34,37,29,37,23
,Lake Jackson C1016 ,1,Reg,30,28,43,45,33,24,27,32,18,16,15,15,16,17,26,25,16,17,17,17,20,31,24,25,26,26,25,21,24,18
,Galveston 99th St. C1034/A320/X183,1,Reg,34,38,40,55,40,28,NV,27,19,17,15,15,17,23,28,25,18,16,18,18,29,39,34,15,22,25,23,24,18,NA

July 2010
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,Galveston 99th St. C1034/A320/X183,1,Reg,28,24,22,25,21,26,27,37,38,31,34,36,37,39,31,14,30,31,43,43,43,34,25,40,35,44,29,22,25

March 2012
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31

Houston-Galveston-Brazoria
,Houston East C1/G316,2,Reg,22,34,38,51,44,45,40,24,23,24,20,22,22,30,29,32,31,28,NV,32,46,54,65,98,76,79,63,47,31,40,37
,Houston Aldine C8/AF108/X150 ,2,Reg,17,38,41,48,46,43,37,22,26,24,17,22,18,29,28,31,31,27,30,33,46,52,63,93,72,84,59,46,26,39,41
,Channelview C15/AH115 ,3,Reg,20,35,45,51,37,46,32,21,29,31,19,23,13,24,20,24,28,24,30,NV,46,55,60,88,68,72,64,40,28,30,31
,Northwest Harris Co. C26/A110/X154,2,Reg,20,43,44,47,52,43,39,24,28,25,16,27,21,30,31,31,32,27,30,34,46,54,57,61,61,85,61,43,28,41,43
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,20,30,41,48,48,44,40,26,23,33,21,27,21,29,26,29,28,27,33,34,46,53,74,103,85,76,62,44,33,36,31
,Seabrook Friendship Park C45,1,Reg,22,30,40,49,47,47,38,26,26,35,24,20,20,29,27,30,30,27,34,34,49,53,64,113,95,77,70,48,38,36,29
,Houston Bayland Park C53/A146 ,1,Reg,19,37,42,47,47,44,38,25,23,28,20,20,21,27,27,29,28,26,31,32,44,50,64,72,73,63,56,39,22,36,31
,Conroe Relocated C78/A321,1,Reg,21,42,42,45,51,48,41,26,29,26,16,29,25,36,35,38,36,32,31,35,44,56,56,64,60,71,75,58,32,51,57
,Houston Regional Office C81,1,Reg,16,32,40,47,41,40,34,21,21,23,19,17,16,23,23,26,24,24,28,29,40,45,61,82,75,64,52,35,25,32,30
,Manvel Croix Park C84,1,Reg,22,34,46,52,49,48,39,27,23,36,26,25,22,30,28,30,29,28,35,37,48,54,66,77,70,67,61,NV,NA,NA,NA
,Clinton C403/C304/AH113 ,3,Reg,17,35,39,43,38,36,30,19,25,24,19,15,16,24,23,26,25,24,26,NV,34,42,61,81,75,65,47,33,24,29,32
,Houston North Wayside C405/C1033,1,Reg,16,36,38,43,44,43,36,20,25,26,17,16,17,28,26,30,29,26,30,31,33,48,61,88,71,74,58,40,NV,34,36
,Houston Monroe C406,1,Reg,22,33,42,48,45,45,40,27,22,34,26,25,21,NV,26,30,28,27,34,34,44,50,61,79,75,61,56,38,28,NV,31
,Lang C408,2,Reg,19,37,42,48,47,42,38,24,24,22,17,20,20,28,28,29,29,26,30,31,45,52,60,77,72,70,57,39,20,39,37
,Houston Croquet C409,2,Reg,NV,36,43,48,49,45,40,26,23,32,22,24,23,29,29,31,29,27,32,33,46,52,66,73,74,65,58,39,27,38,32
,Houston Westhollow C410/C3003,1,Reg,19,39,43,49,50,45,39,24,25,29,20,25,22,29,30,32,30,28,31,33,46,52,65,69,72,66,57,39,25,39,34
,Houston Texas Avenue C411,1,Reg,18,34,40,47,40,42,32,22,22,NV,NA,NV,19,25,25,27,27,27,30,30,39,46,64,82,77,69,55,36,24,35,33
,Park Place C416,1,Reg,19,32,39,46,46,43,38,25,18,30,23,22,21,29,27,29,27,26,31,32,40,48,62,79,76,65,57,39,28,35,31
,Sheldon C551,1,Non,18,38,44,50,42,45,33,21,27,26,15,19,15,26,21,25,27,24,29,35,44,53,63,88,67,77,65,43,25,31,33
,Baytown Wetlands Center C552,1,Non,17,33,44,50,48,52,42,22,27,32,23,23,22,30,30,32,30,27,32,36,48,50,61,93,83,75,70,49,35,32,32
,Crosby Library C553,1,Non,21,35,44,51,51,52,43,24,27,27,23,29,25,30,32,34,30,29,33,NV,NA,NA,NV,77,66,80,67,51,33,40,44
,West Houston C554,1,Non,19,41,43,47,50,43,38,22,30,22,15,24,19,28,29,30,29,25,28,30,44,51,55,63,62,67,57,37,18,36,35
,La Porte Sylvan Beach C556,1,Non,14,NV,NA,NA,NA,NA,39,26,27,33,21,20,15,31,25,30,33,26,34,36,49,53,63,109,90,81,70,53,39,37,31
,Mercer Arboretum C557,1,Non,18,36,41,47,48,44,38,22,27,24,16,23,19,32,29,33,33,29,30,33,45,54,58,80,62,90,64,50,27,45,47
,Tom Bass C558,1,Non,20,34,45,48,47,46,38,25,21,33,22,22,21,29,27,29,28,27,32,34,44,51,63,72,69,62,59,38,28,35,29
,Katy Park C559,1,Non,17,38,41,45,48,41,36,22,26,25,18,21,18,26,25,27,29,24,27,30,38,48,49,55,58,59,54,35,23,32,30
,Atascocita C560,1,Non,20,38,42,49,45,49,38,23,28,26,19,22,22,32,28,31,31,27,29,34,44,54,59,88,65,85,70,50,30,42,43
,Meyer Park C561,1,Non,NV,40,41,46,47,42,38,23,27,24,15,22,21,29,29,30,30,27,30,31,44,50,56,72,63,84,59,NV,NA,NA,NA
,Bunker Hill Village C562,1,Non,20,39,44,49,50,44,39,24,24,24,16,20,20,27,29,31,29,27,30,31,46,53,64,72,70,67,57,36,18,37,34
,Huffman Wolf Road C563,1,Non,23,37,46,52,52,53,43,26,NV,25,24,33,26,30,33,36,31,30,33,37,47,58,54,65,66,76,68,54,34,46,50
,Clear Brook High School C570,1,Non,22,30,46,53,53,51,45,29,25,37,25,29,23,34,30,34,31,30,36,37,53,49,71,80,74,65,59,39,31,34,27
,Clear Creek High School C571,1,Non,24,36,50,57,56,53,47,30,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Clear Lake High School C572,1,Non,20,30,45,52,51,48,44,27,24,36,26,28,21,29,29,32,27,27,34,35,51,57,77,105,92,79,66,46,30,35,30
,HRM-3 Haden Road C603/A114 ,1,Non,17,34,38,45,43,38,32,19,22,24,12,21,15,23,22,24,24,20,24,27,39,48,58,88,63,72,54,39,25,32,30
,Wallisville Road C617 ,1,Non,20,39,47,53,50,56,43,26,31,32,27,29,23,33,31,33,30,29,35,40,48,55,63,85,68,73,68,49,36,36,38
,Danciger C618 ,1,Non,23,28,47,51,48,44,41,27,24,31,17,20,23,29,27,30,28,28,34,37,49,55,72,47,61,64,60,40,30,37,29
,Mustang Bayou C619 ,1,Non,25,29,47,51,53,51,45,30,28,41,29,29,26,35,31,33,31,31,37,NV,50,55,NV,71,71,66,66,49,39,37,29
,Texas City 34th St. C620 ,1,Non,24,34,48,54,53,52,47,27,32,41,26,23,25,33,32,35,33,29,35,42,53,57,74,NA,NA,80,69,59,42,37,30
,UH Moody Tower C695,1,Non,26,40,48,55,54,49,45,31,27,33,27,27,28,35,35,36,34,33,37,38,52,59,76,94,88,76,67,47,34,44,39
,U of H-Sugarland C696,1,Non,20,37,42,48,50,45,38,25,22,33,22,22,21,29,27,30,29,26,31,33,45,51,64,60,66,60,59,38,28,35,28
,UH Coastal Center C697,1,Non,24,32,47,53,54,53,47,30,29,39,28,27,26,37,32,35,32,31,37,40,53,57,81,95,84,71,70,47,40,40,31
,UH WG Jones Forest C698,1,Non,23,44,47,50,54,49,41,27,30,27,17,33,25,37,35,38,38,32,33,36,51,58,63,71,68,97,71,57,33,52,57
,UH West Liberty C699,1,Non,21,34,41,48,49,49,39,24,28,25,23,36,23,29,31,34,29,28,32,37,46,56,50,59,62,69,62,50,33,41,44
,Lynchburg Ferry C1015/A165 ,1,Reg,21,33,41,44,38,45,33,24,26,29,18,14,12,26,21,26,27,24,34,35,43,52,58,86,67,80,68,48,35,31,32
,Lake Jackson C1016 ,1,Reg,23,24,46,52,49,44,42,27,23,34,21,24,22,30,28,30,28,26,33,35,49,53,71,45,64,64,59,40,33,34,25
,Galveston 99th St. C1034/A320/X183,1,Reg,22,27,42,51,53,50,42,27,28,38,28,24,24,34,30,32,32,28,35,38,53,53,68,85,84,81,NV,NV,40,40,32

April 2012
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30

Houston-Galveston-Brazoria
,Houston East C1/G316,2,Reg,26,37,25,32,52,63,67,65,67,72,54,57,43,46,37,25,37,55,62,48,40,55,51,66,49,50,42,43,32,33
,Houston Aldine C8/AF108/X150 ,2,Reg,30,33,24,41,53,68,68,57,61,75,56,58,41,44,35,28,45,58,64,47,42,55,54,66,48,46,40,44,31,33
,Channelview C15/AH115 ,3,Reg,24,34,21,31,58,53,59,60,61,73,53,54,41,46,38,33,43,54,61,50,43,55,56,66,51,49,41,41,28,28
,Northwest Harris Co. C26/A110/X154,2,Reg,30,33,27,44,50,78,80,61,57,76,54,59,43,43,35,37,49,63,65,44,47,55,54,65,48,47,43,46,33,32
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,23,39,25,30,57,55,62,58,75,70,54,56,42,46,38,33,44,60,61,50,43,57,58,63,49,46,39,41,31,32
,Seabrook Friendship Park C45,1,Reg,23,44,29,33,58,58,65,60,69,73,56,59,45,47,40,39,41,58,60,52,42,61,59,63,48,46,40,41,32,31
,Houston Bayland Park C53/A146 ,1,Reg,27,34,22,37,49,63,63,65,72,58,46,54,39,43,35,28,50,65,56,46,44,58,56,60,45,43,38,41,29,28
,Conroe Relocated C78/A321,1,Reg,41,35,31,42,51,54,59,55,52,81,71,63,49,47,37,40,45,53,77,40,43,50,50,73,51,53,44,50,37,37
,Houston Regional Office C81,1,Reg,23,29,17,29,50,61,61,63,68,59,44,48,35,40,34,25,40,56,54,44,43,56,54,58,40,41,35,38,27,24
,Manvel Croix Park C84,1,Reg,NA,NV,23,39,58,65,71,67,74,63,53,60,NV,NA,NA,NA,NV,78,NV,52,51,65,62,67,48,49,43,44,31,30
,Clinton C403/C304/AH113 ,3,Reg,25,29,19,33,46,59,59,62,67,56,41,46,32,41,34,30,43,58,51,NV,43,56,53,55,39,41,36,39,29,25
,Houston North Wayside C405/C1033,1,Reg,27,32,23,34,46,60,61,58,NV,71,49,52,38,42,35,30,40,54,57,39,41,52,NV,61,43,44,38,42,29,31
,Houston Monroe C406,1,Reg,26,38,22,33,56,57,63,62,74,58,46,55,41,46,39,32,43,62,56,49,45,61,53,61,47,49,42,42,31,29
,Lang C408,2,Reg,28,31,23,38,51,76,66,65,68,62,48,52,38,41,35,26,47,64,61,43,44,58,54,63,51,46,39,44,31,29
,Houston Croquet C409,2,Reg,27,36,22,37,51,60,63,63,75,58,46,54,40,44,38,31,50,71,59,50,47,61,58,62,46,46,40,44,31,30
,Houston Westhollow C410/C3003,1,Reg,25,36,24,42,51,71,68,71,70,62,49,56,40,44,37,33,59,77,62,50,50,63,58,62,47,49,43,46,32,32
,Houston Texas Avenue C411,1,Reg,24,32,22,34,48,65,64,67,69,60,46,49,36,42,35,29,47,61,53,40,43,56,53,58,41,43,37,41,29,27
,Park Place C416,1,Reg,25,33,22,32,52,57,59,60,68,59,46,52,39,42,37,26,42,59,57,NV,42,57,54,62,45,46,40,42,30,29
,Sheldon C551,1,Non,24,34,20,34,56,56,59,55,53,76,58,52,40,44,35,28,41,54,NV,47,43,53,54,66,49,47,39,41,27,28
,Baytown Wetlands Center C552,1,Non,24,42,27,32,62,56,62,57,65,70,55,58,46,47,39,32,44,60,60,63,43,55,55,64,46,44,37,41,31,32
,Crosby Library C553,1,Non,31,40,24,38,56,61,61,56,53,72,63,57,46,48,39,32,42,53,70,52,42,54,52,75,56,51,42,44,31,31
,West Houston C554,1,Non,25,31,23,39,46,84,69,70,63,61,47,55,39,41,33,32,51,68,59,43,46,56,40,58,44,44,40,43,30,29
,La Porte Sylvan Beach C556,1,Non,24,46,29,33,61,58,65,58,72,76,56,61,49,50,40,36,40,57,61,51,43,56,56,64,50,47,41,44,33,33
,Mercer Arboretum C557,1,Non,32,31,26,42,49,65,64,58,58,78,59,62,44,45,36,30,47,56,68,41,43,53,53,70,53,49,42,47,35,37
,Tom Bass C558,1,Non,21,37,20,33,50,57,61,59,70,55,48,53,39,43,NV,NA,45,64,56,46,45,58,56,62,44,44,39,40,29,27
,Katy Park C559,1,Non,23,32,23,41,44,77,65,68,55,57,46,55,37,40,33,35,51,63,56,41,43,55,49,56,42,43,38,41,30,28
,Atascocita C560,1,Non,32,36,26,41,51,61,60,55,54,76,64,60,46,48,38,32,44,55,70,46,43,52,52,71,50,50,44,47,33,36
,Meyer Park C561,1,Non,NA,NA,NV,41,47,71,70,57,60,72,55,54,41,41,36,35,48,60,65,42,39,50,51,63,45,46,40,44,31,32
,Bunker Hill Village C562,1,Non,28,32,23,37,49,73,65,70,71,60,47,55,39,43,36,28,53,67,58,43,46,58,NV,60,48,44,39,43,29,28
,Huffman Wolf Road C563,1,Non,NA,39,27,40,56,61,60,57,53,72,64,58,48,49,40,34,43,53,79,53,44,53,52,82,59,NV,46,47,32,34
,Clear Brook High School C570,1,Non,20,36,20,28,52,53,60,57,71,56,46,53,40,44,36,33,43,65,55,49,43,62,55,62,48,45,38,40,29,27
,Clear Lake High School C572,1,Non,20,41,26,30,61,57,66,59,80,71,56,58,43,48,40,36,43,67,62,54,45,65,60,65,51,48,41,43,30,30
,HRM-3 Haden Road C603/A114 ,1,Non,19,28,17,26,47,54,56,56,58,63,48,48,33,36,27,26,36,NV,NV,NV,39,51,51,58,43,43,35,36,25,28
,Wallisville Road C617 ,1,Non,27,43,26,35,58,57,61,59,60,61,58,60,48,50,42,36,45,57,65,54,44,55,55,68,52,47,41,44,33,30
,Danciger C618 ,1,Non,24,38,24,33,51,59,70,60,51,60,52,59,41,47,37,40,60,64,58,51,54,62,62,64,48,48,43,43,30,28
,Mustang Bayou C619 ,1,Non,24,44,22,31,51,59,63,61,76,57,54,59,48,49,41,NA,47,68,56,51,47,70,63,63,49,48,41,41,31,29
,Texas City 34th St. C620 ,1,Non,24,47,28,34,69,62,71,66,72,68,58,63,51,51,44,49,47,67,63,57,50,75,70,69,53,54,44,45,34,33
,UH Moody Tower C695,1,Non,29,39,27,42,61,72,70,73,80,67,54,59,45,48,41,34,50,67,65,53,49,64,61,69,49,50,45,46,33,31
,U of H-Sugarland C696,1,Non,21,36,22,40,46,62,61,62,68,54,49,55,39,43,35,29,54,77,55,47,46,58,53,58,45,46,40,41,29,28
,UH Coastal Center C697,1,Non,25,48,28,35,59,62,68,65,75,61,56,60,50,51,46,49,45,69,61,55,50,73,68,67,52,53,43,45,NV,NV
,UH WG Jones Forest C698,1,Non,38,35,33,46,55,59,64,NV,58,85,71,66,49,48,39,41,49,62,78,44,50,59,56,76,55,57,48,53,40,42
,UH West Liberty C699,1,Non,31,36,24,38,52,59,58,55,50,66,63,55,44,47,39,32,43,52,71,54,42,51,51,75,59,51,43,45,30,30
,Lynchburg Ferry C1015/A165 ,1,Reg,25,38,24,27,51,51,59,58,64,75,53,57,44,48,37,31,38,51,59,51,40,NA,NA,NA,NA,NA,NV,40,30,30
,Lake Jackson C1016 ,1,Reg,21,37,20,28,44,56,64,58,57,60,53,56,43,47,37,39,55,64,57,51,48,61,64,64,47,47,41,40,31,28
,Galveston 99th St. C1034/A320/X183,1,Reg,20,43,24,34,60,60,60,56,60,53,56,57,50,45,43,47,46,NV,58,54,42,62,63,60,53,51,40,39,32,30

May 2012
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31

Houston-Galveston-Brazoria
,Houston East C1/G316,2,Reg,34,41,34,29,30,29,38,52,43,54,53,52,48,61,29,55,73,69,68,61,73,77,49,39,29,42,35,40,40,35,33
,Houston Aldine C8/AF108/X150 ,2,Reg,35,48,39,32,34,30,49,54,47,56,56,51,48,61,33,55,66,68,70,62,63,69,48,38,29,44,34,40,46,42,34
,Channelview C15/AH115 ,3,Reg,27,37,30,24,24,27,44,58,46,52,53,54,51,56,39,58,64,67,64,55,64,79,47,36,26,38,35,36,34,35,41
,Northwest Harris Co. C26/A110/X154,2,Reg,34,42,39,37,35,36,47,51,47,59,61,51,50,64,45,59,82,68,74,68,55,61,47,41,35,43,34,37,38,51,43
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,32,37,30,27,25,25,38,63,49,56,54,55,50,67,37,67,69,68,64,54,79,69,44,36,26,37,32,33,29,29,36
,Seabrook Friendship Park C45,1,Reg,32,37,29,26,23,23,36,54,50,57,56,54,52,67,40,68,73,69,66,56,86,67,45,38,26,40,32,30,26,26,41
,Houston Bayland Park C53/A146 ,1,Reg,29,36,28,29,28,31,43,56,58,53,55,52,53,77,43,70,82,60,63,57,74,63,41,37,28,34,28,31,32,32,35
,Conroe Relocated C78/A321,1,Reg,38,60,53,52,47,38,50,48,43,57,53,50,49,56,40,52,58,82,71,50,54,57,59,50,43,48,46,48,47,57,52
,Houston Regional Office C81,1,Reg,26,31,25,24,27,27,42,52,48,48,47,52,51,58,30,57,72,54,60,53,75,66,41,32,22,36,27,30,30,27,26
,Manvel Croix Park C84,1,Reg,31,34,28,29,28,32,41,69,66,57,56,60,62,84,46,86,81,64,66,61,90,65,48,41,28,NV,NV,NV,NV,NV,NA
,Clinton C403/C304/AH113 ,3,Reg,28,33,25,23,28,28,41,55,51,50,52,54,49,65,35,60,69,54,63,56,72,60,NV,30,20,37,29,34,28,27,27
,Houston North Wayside C405/C1033,1,Reg,32,40,32,27,29,27,44,52,48,52,NV,NV,50,59,32,57,66,65,68,62,69,69,46,36,28,42,32,37,39,36,27
,Houston Monroe C406,1,Reg,31,34,27,26,27,29,36,65,51,57,57,58,51,67,33,73,75,58,67,56,85,68,47,38,27,36,30,34,32,30,34
,Lang C408,2,Reg,29,42,34,35,34,32,44,53,50,50,52,52,52,70,34,61,77,62,67,71,70,71,51,44,35,42,32,39,38,38,34
,Houston Croquet C409,2,Reg,29,37,29,30,30,33,43,63,64,55,55,56,55,76,44,74,79,59,62,56,80,64,43,38,29,35,30,31,31,31,33
,Houston Westhollow C410/C3003,1,Reg,32,NV,30,30,30,34,43,51,59,55,55,51,51,81,46,66,83,57,61,59,62,61,40,35,28,34,32,33,31,33,34
,Houston Texas Avenue C411,1,Reg,29,34,27,26,29,30,43,54,54,50,NV,51,53,67,32,60,75,57,67,60,76,66,43,36,26,38,32,35,36,33,32
,Park Place C416,1,Reg,30,36,29,27,29,29,36,59,52,53,54,54,49,65,32,61,74,56,63,53,76,63,43,35,26,36,29,32,30,31,29
,Sheldon C551,1,Non,27,46,31,25,25,25,41,51,41,52,49,51,47,55,36,53,60,69,61,53,59,72,46,36,25,38,35,39,39,39,39
,Baytown Wetlands Center C552,1,Non,30,39,32,28,24,23,40,54,49,57,53,52,51,60,41,64,71,66,63,55,71,80,45,39,24,38,34,32,28,31,43
,Crosby Library C553,1,Non,30,52,41,34,32,30,45,53,44,58,54,51,49,56,37,55,63,69,64,56,57,72,52,40,30,38,39,44,43,47,46
,West Houston C554,1,Non,30,36,31,30,30,33,39,50,53,54,55,51,50,74,41,64,85,59,64,66,60,64,43,37,30,35,32,34,34,38,31
,La Porte Sylvan Beach C556,1,Non,34,37,31,27,25,25,38,52,48,58,57,56,52,66,39,66,74,70,69,57,84,74,46,39,28,41,35,31,28,28,44
,Mercer Arboretum C557,1,Non,39,55,47,39,40,33,51,51,45,59,58,49,49,59,36,55,64,74,73,60,59,63,53,43,35,50,39,44,NV,NA,NA
,Tom Bass C558,1,Non,27,31,25,25,25,28,34,63,56,54,53,54,53,NV,NA,NA,NA,NA,NA,NA,NA,NV,44,36,26,34,28,30,27,27,31
,Katy Park C559,1,Non,28,34,30,28,28,36,38,46,50,52,52,50,48,65,44,61,77,59,60,61,55,59,40,36,30,33,30,31,31,32,30
,Atascocita C560,1,Non,36,56,41,36,32,29,44,49,43,57,54,48,47,55,33,52,60,77,69,58,57,67,53,NV,NA,NA,NA,NA,NV,50,37
,Meyer Park C561,1,Non,34,46,40,40,36,33,49,51,46,57,58,48,48,64,39,56,74,65,70,64,54,59,46,40,33,44,33,41,41,49,41
,Bunker Hill Village C562,1,Non,30,38,30,31,30,31,38,55,58,53,54,52,53,77,42,65,82,60,64,61,68,64,41,36,29,35,30,37,34,35,31
,Huffman Wolf Road C563,1,Non,32,56,47,38,38,34,48,52,44,60,54,51,51,55,37,55,62,69,64,56,54,66,56,43,33,39,39,49,52,48,50
