June 2022
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,Meyer Park C561,1,Non,26,30,35,52,50,34,35,NV,49,30,27,21,27,22,28,55,58,58,57,67,59,53,60,49,52,48,NV,51,56,NV
,Huffman Wolf Road C563,1,Non,27,28,31,37,57,37,37,41,55,40,39,31,34,30,33,46,45,41,44,56,49,43,63,56,64,48,39,48,NV,NV
,HRM-3 Haden Road C603/A114 ,1,Non,26,37,36,64,48,31,27,30,41,35,34,25,26,22,24,72,49,48,53,84,49,49,58,39,52,72,51,51,61,32
,Wallisville Road C617 ,1,Non,27,31,34,49,51,31,27,33,48,34,35,25,26,26,27,56,40,38,47,66,47,43,58,45,59,72,46,51,56,31
,Texas City 34th St. C620 ,1,Non,26,58,42,64,48,37,27,26,28,23,21,23,24,27,26,44,41,35,55,64,NV,NV,35,28,43,48,59,62,54,NV
,UH Moody Tower C695,1,Non,20,40,42,70,45,30,NV,34,42,34,32,23,25,24,26,67,42,43,59,85,48,40,50,38,48,70,63,54,65,38
,UH WG Jones Forest C698,1,Non,47,40,39,47,68,46,50,48,52,37,34,32,38,34,41,43,68,55,53,66,52,62,73,70,63,50,48,60,60,35
,Lynchburg Ferry C1015/A165 ,1,Reg,23,27,27,53,45,30,24,26,35,29,23,21,25,22,22,56,37,35,46,63,42,36,52,34,47,67,45,45,56,36
,Lake Jackson C1016 ,1,Reg,22,37,65,63,43,32,25,24,23,16,18,20,22,24,23,28,28,27,34,63,38,26,26,29,43,47,56,67,55,48
,Baytown Garth C1017,1,Reg,32,36,38,55,58,37,32,40,56,41,42,30,30,31,33,66,47,43,53,72,54,49,63,52,67,78,53,57,64,39
,Galveston 99th St. C1034/A320/X183,1,Reg,22,58,45,58,44,34,21,20,NV,15,17,19,19,23,21,29,34,27,67,66,43,24,27,38,42,37,71,70,51,48
,UH Smith Point C1606,1,Non,24,37,33,54,43,32,23,22,25,21,17,18,21,24,24,35,34,36,49,54,43,32,40,31,47,51,56,61,54,44
,Oyster Creek C1607 ,1,Non,27,44,65,67,46,36,27,26,27,20,22,24,26,26,26,29,29,29,34,65,46,31,30,39,45,44,64,70,52,50
,UH Launch Trailer C1611,1,Non,NV,41,44,75,50,34,30,34,40,32,NV,NA,NV,24,27,69,41,44,59,86,47,40,51,37,49,69,61,53,64,37
,Liberty Sam Houston Library C1626,1,Non,17,25,28,35,47,30,NV,NA,45,36,37,28,26,23,25,32,36,33,45,57,40,34,50,48,65,44,38,48,50,25
